#    L    TT             EE             BB             TE             PP             TP             EP          
    54    0.17201E+04    0.21900E+00    0.46809E-01   -0.29983E+01    0.10815E-06    0.10032E-02   -0.63150E-06
    55    0.17361E+04    0.23008E+00    0.47717E-01   -0.33083E+01    0.10750E-06    0.98379E-03   -0.57503E-06
    56    0.17526E+04    0.24144E+00    0.48600E-01   -0.36278E+01    0.10684E-06    0.96465E-03   -0.50347E-06
    57    0.17693E+04    0.25296E+00    0.49458E-01   -0.39567E+01    0.10617E-06    0.94578E-03   -0.42773E-06
    58    0.17863E+04    0.26463E+00    0.50290E-01   -0.42965E+01    0.10550E-06    0.92723E-03   -0.36158E-06
    59    0.18035E+04    0.27648E+00    0.51094E-01   -0.46486E+01    0.10482E-06    0.90904E-03   -0.31876E-06
    60    0.18209E+04    0.28856E+00    0.51871E-01   -0.50128E+01    0.10413E-06    0.89123E-03   -0.31300E-06
    61    0.18388E+04    0.30095E+00    0.52618E-01   -0.53887E+01    0.10344E-06    0.87386E-03   -0.35323E-06
    62    0.18566E+04    0.31365E+00    0.53337E-01   -0.57767E+01    0.10275E-06    0.85697E-03   -0.42931E-06
    63    0.18746E+04    0.32660E+00    0.54025E-01   -0.61774E+01    0.10205E-06    0.84061E-03   -0.52630E-06
    64    0.18930E+04    0.33984E+00    0.54683E-01   -0.65911E+01    0.10134E-06    0.82485E-03   -0.62934E-06
    65    0.19115E+04    0.35334E+00    0.55310E-01   -0.70178E+01    0.10064E-06    0.80973E-03   -0.72356E-06
    66    0.19304E+04    0.36703E+00    0.55905E-01   -0.74554E+01    0.99937E-07    0.79528E-03   -0.79612E-06
    67    0.19495E+04    0.38092E+00    0.56469E-01   -0.79012E+01    0.99232E-07    0.78143E-03   -0.84224E-06
    68    0.19691E+04    0.39503E+00    0.57001E-01   -0.83542E+01    0.98527E-07    0.76806E-03   -0.85914E-06
    69    0.19890E+04    0.40931E+00    0.57500E-01   -0.88131E+01    0.97823E-07    0.75507E-03   -0.84406E-06
    70    0.20092E+04    0.42379E+00    0.57966E-01   -0.92801E+01    0.97119E-07    0.74234E-03   -0.79422E-06
    71    0.20296E+04    0.43847E+00    0.58399E-01   -0.97580E+01    0.96417E-07    0.72980E-03   -0.71060E-06
    72    0.20502E+04    0.45330E+00    0.58798E-01   -0.10248E+02    0.95715E-07    0.71743E-03   -0.60912E-06
    73    0.20711E+04    0.46825E+00    0.59164E-01   -0.10750E+02    0.95015E-07    0.70525E-03   -0.50945E-06
    74    0.20923E+04    0.48331E+00    0.59497E-01   -0.11264E+02    0.94316E-07    0.69330E-03   -0.43123E-06
    75    0.21138E+04    0.49849E+00    0.59797E-01   -0.11786E+02    0.93618E-07    0.68158E-03   -0.39405E-06
