#    L    TxT            TxE            TxP            ExT            ExE            ExP            PxT            PxE            PxP         
    42    0.12502E+04    0.14665E+01   -0.53556E-04    0.14665E+01    0.72741E-01   -0.46274E-07   -0.53556E-04   -0.46274E-07    0.13430E-09
    43    0.12684E+04    0.13655E+01   -0.51818E-04    0.13655E+01    0.78568E-01   -0.48066E-07   -0.51818E-04   -0.48066E-07    0.12771E-09
    44    0.12865E+04    0.12530E+01   -0.50159E-04    0.12530E+01    0.84682E-01   -0.50862E-07   -0.50159E-04   -0.50862E-07    0.12156E-09
    45    0.13050E+04    0.11276E+01   -0.48578E-04    0.11276E+01    0.91095E-01   -0.53481E-07   -0.48578E-04   -0.53481E-07    0.11579E-09
    46    0.13238E+04    0.98658E+00   -0.47073E-04    0.98658E+00    0.97817E-01   -0.54976E-07   -0.47073E-04   -0.54976E-07    0.11038E-09
    47    0.13428E+04    0.83050E+00   -0.45638E-04    0.83050E+00    0.10484E+00   -0.55345E-07   -0.45638E-04   -0.55345E-07    0.10530E-09
    48    0.13619E+04    0.66350E+00   -0.44265E-04    0.66350E+00    0.11215E+00   -0.54820E-07   -0.44265E-04   -0.54820E-07    0.10053E-09
    49    0.13811E+04    0.48908E+00   -0.42947E-04    0.48908E+00    0.11974E+00   -0.53633E-07   -0.42947E-04   -0.53633E-07    0.96043E-10
    50    0.14007E+04    0.30401E+00   -0.41674E-04    0.30401E+00    0.12755E+00   -0.52017E-07   -0.41674E-04   -0.52017E-07    0.91819E-10
    51    0.14205E+04    0.10367E+00   -0.40441E-04    0.10367E+00    0.13556E+00   -0.50166E-07   -0.40441E-04   -0.50166E-07    0.87838E-10
    52    0.14407E+04   -0.11627E+00   -0.39249E-04   -0.11627E+00    0.14385E+00   -0.48129E-07   -0.39249E-04   -0.48129E-07    0.84081E-10
    53    0.14609E+04   -0.35822E+00   -0.38097E-04   -0.35822E+00    0.15257E+00   -0.45919E-07   -0.38097E-04   -0.45919E-07    0.80536E-10
    54    0.14810E+04   -0.61665E+00   -0.36988E-04   -0.61665E+00    0.16174E+00   -0.43548E-07   -0.36988E-04   -0.43548E-07    0.77187E-10
    55    0.15012E+04   -0.88588E+00   -0.35923E-04   -0.88588E+00    0.17133E+00   -0.41028E-07   -0.35923E-04   -0.41028E-07    0.74020E-10
    56    0.15219E+04   -0.11666E+01   -0.34902E-04   -0.11666E+01    0.18120E+00   -0.38404E-07   -0.34902E-04   -0.38404E-07    0.71021E-10
    57    0.15429E+04   -0.14589E+01   -0.33924E-04   -0.14589E+01    0.19124E+00   -0.35846E-07   -0.33924E-04   -0.35846E-07    0.68179E-10
    58    0.15642E+04   -0.17636E+01   -0.32986E-04   -0.17636E+01    0.20145E+00   -0.33558E-07   -0.32986E-04   -0.33558E-07    0.65485E-10
    59    0.15857E+04   -0.20818E+01   -0.32086E-04   -0.20818E+01    0.21186E+00   -0.31743E-07   -0.32086E-04   -0.31743E-07    0.62930E-10
    60    0.16074E+04   -0.24130E+01   -0.31220E-04   -0.24130E+01    0.22252E+00   -0.30606E-07   -0.31220E-04   -0.30606E-07    0.60504E-10
    61    0.16296E+04   -0.27566E+01   -0.30386E-04   -0.27566E+01    0.23352E+00   -0.30275E-07   -0.30386E-04   -0.30275E-07    0.58198E-10
    62    0.16518E+04   -0.31134E+01   -0.29581E-04   -0.31134E+01    0.24484E+00   -0.30584E-07   -0.29581E-04   -0.30584E-07    0.56005E-10
    63    0.16741E+04   -0.34841E+01   -0.28804E-04   -0.34841E+01    0.25645E+00   -0.31292E-07   -0.28804E-04   -0.31292E-07    0.53919E-10
    64    0.16968E+04   -0.38697E+01   -0.28051E-04   -0.38697E+01    0.26836E+00   -0.32158E-07   -0.28051E-04   -0.32158E-07    0.51934E-10
    65    0.17196E+04   -0.42706E+01   -0.27320E-04   -0.42706E+01    0.28055E+00   -0.32942E-07   -0.27320E-04   -0.32942E-07    0.50044E-10
    66    0.17427E+04   -0.46848E+01   -0.26610E-04   -0.46848E+01    0.29296E+00   -0.33434E-07   -0.26610E-04   -0.33434E-07    0.48242E-10
    67    0.17660E+04   -0.51101E+01   -0.25919E-04   -0.51101E+01    0.30557E+00   -0.33546E-07   -0.25919E-04   -0.33546E-07    0.46524E-10
    68    0.17897E+04   -0.55456E+01   -0.25249E-04   -0.55456E+01    0.31843E+00   -0.33219E-07   -0.25249E-04   -0.33219E-07    0.44885E-10
    69    0.18137E+04   -0.59902E+01   -0.24600E-04   -0.59902E+01    0.33150E+00   -0.32398E-07   -0.24600E-04   -0.32398E-07    0.43322E-10
    70    0.18381E+04   -0.64464E+01   -0.23974E-04   -0.64464E+01    0.34479E+00   -0.31024E-07   -0.23974E-04   -0.31024E-07    0.41829E-10
    71    0.18626E+04   -0.69169E+01   -0.23370E-04   -0.69169E+01    0.35830E+00   -0.29101E-07   -0.23370E-04   -0.29101E-07    0.40402E-10
    72    0.18873E+04   -0.74023E+01   -0.22787E-04   -0.74023E+01    0.37200E+00   -0.26870E-07   -0.22787E-04   -0.26870E-07    0.39037E-10
    73    0.19123E+04   -0.79022E+01   -0.22225E-04   -0.79022E+01    0.38585E+00   -0.24636E-07   -0.22225E-04   -0.24636E-07    0.37733E-10
    74    0.19374E+04   -0.84146E+01   -0.21682E-04   -0.84146E+01    0.39985E+00   -0.22701E-07   -0.21682E-04   -0.22701E-07    0.36484E-10
    75    0.19629E+04   -0.89370E+01   -0.21157E-04   -0.89370E+01    0.41400E+00   -0.21369E-07   -0.21157E-04   -0.21369E-07    0.35288E-10
    76    0.19887E+04   -0.94679E+01   -0.20648E-04   -0.94679E+01    0.42830E+00   -0.20858E-07   -0.20648E-04   -0.20858E-07    0.34143E-10
    77    0.20149E+04   -0.10007E+02   -0.20155E-04   -0.10007E+02    0.44274E+00   -0.21048E-07   -0.20155E-04   -0.21048E-07    0.33044E-10
    78    0.20415E+04   -0.10557E+02   -0.19677E-04   -0.10557E+02    0.45735E+00   -0.21735E-07   -0.19677E-04   -0.21735E-07    0.31991E-10
    79    0.20682E+04   -0.11113E+02   -0.19213E-04   -0.11113E+02    0.47207E+00   -0.22714E-07   -0.19213E-04   -0.22714E-07    0.30982E-10
    80    0.20954E+04   -0.11677E+02   -0.18761E-04   -0.11677E+02    0.48691E+00   -0.23781E-07   -0.18761E-04   -0.23781E-07    0.30012E-10
    81    0.21227E+04   -0.12251E+02   -0.18321E-04   -0.12251E+02    0.50181E+00   -0.24752E-07   -0.18321E-04   -0.24752E-07    0.29082E-10
    82    0.21504E+04   -0.12832E+02   -0.17893E-04   -0.12832E+02    0.51679E+00   -0.25526E-07   -0.17893E-04   -0.25526E-07    0.28188E-10
    83    0.21783E+04   -0.13423E+02   -0.17477E-04   -0.13423E+02    0.53182E+00   -0.26024E-07   -0.17477E-04   -0.26024E-07    0.27330E-10
    84    0.22065E+04   -0.14020E+02   -0.17072E-04   -0.14020E+02    0.54689E+00   -0.26166E-07   -0.17072E-04   -0.26166E-07    0.26505E-10
    85    0.22349E+04   -0.14626E+02   -0.16678E-04   -0.14626E+02    0.56198E+00   -0.25874E-07   -0.16678E-04   -0.25874E-07    0.25713E-10
