  0.102076E-04 -0.644549E+14 -0.644549E+14 -0.859225E+14 -0.859224E+14 -0.644549E+14 -0.644549E+14 -0.644549E+14 -0.644764E+14  0.410584E+05  0.773426E+12  0.773426E+12 -0.424656E+07
  0.112819E-04 -0.646686E+14 -0.646686E+14 -0.862036E+14 -0.862034E+14 -0.646686E+14 -0.646686E+14 -0.646686E+14 -0.646902E+14  0.410336E+05  0.777580E+12  0.777580E+12 -0.470440E+07
  0.124693E-04 -0.649306E+14 -0.649306E+14 -0.865481E+14 -0.865479E+14 -0.649306E+14 -0.649306E+14 -0.649306E+14 -0.649522E+14  0.410023E+05  0.782678E+12  0.782678E+12 -0.521427E+07
  0.137816E-04 -0.652519E+14 -0.652519E+14 -0.869706E+14 -0.869704E+14 -0.652519E+14 -0.652519E+14 -0.652519E+14 -0.652737E+14  0.409627E+05  0.788942E+12  0.788943E+12 -0.578302E+07
  0.152321E-04 -0.656465E+14 -0.656465E+14 -0.874895E+14 -0.874893E+14 -0.656465E+14 -0.656465E+14 -0.656465E+14 -0.656684E+14  0.409122E+05  0.796649E+12  0.796650E+12 -0.641874E+07
  0.168352E-04 -0.661316E+14 -0.661316E+14 -0.881273E+14 -0.881270E+14 -0.661316E+14 -0.661316E+14 -0.661316E+14 -0.661536E+14  0.408473E+05  0.806146E+12  0.806147E+12 -0.713101E+07
  0.186070E-04 -0.667286E+14 -0.667286E+14 -0.889123E+14 -0.889119E+14 -0.667286E+14 -0.667286E+14 -0.667286E+14 -0.667509E+14  0.407634E+05  0.817871E+12  0.817871E+12 -0.793138E+07
  0.205653E-04 -0.674649E+14 -0.674649E+14 -0.898802E+14 -0.898798E+14 -0.674649E+14 -0.674649E+14 -0.674649E+14 -0.674873E+14  0.406535E+05  0.832380E+12  0.832380E+12 -0.883391E+07
  0.227297E-04 -0.683746E+14 -0.683746E+14 -0.910761E+14 -0.910755E+14 -0.683746E+14 -0.683746E+14 -0.683746E+14 -0.683973E+14  0.405083E+05  0.850385E+12  0.850386E+12 -0.985594E+07
  0.251219E-04 -0.695015E+14 -0.695015E+14 -0.925572E+14 -0.925566E+14 -0.695015E+14 -0.695015E+14 -0.695015E+14 -0.695246E+14  0.403140E+05  0.872807E+12  0.872808E+12 -0.110191E+08
