#    L    TxT            TxE            TxP            ExT            ExE            ExP            PxT            PxE            PxP         
    43    0.12427E+04    0.13594E+01    0.26997E-04    0.13594E+01    0.78188E-01   -0.49399E-08    0.26997E-04   -0.49399E-08    0.62443E-10
    44    0.12606E+04    0.12418E+01    0.25788E-04    0.12418E+01    0.84257E-01   -0.87219E-08    0.25788E-04   -0.87219E-08    0.59409E-10
    45    0.12788E+04    0.11121E+01    0.24647E-04    0.11121E+01    0.90628E-01   -0.12331E-07    0.24647E-04   -0.12331E-07    0.56569E-10
    46    0.12973E+04    0.96845E+00    0.23564E-04    0.96845E+00    0.97315E-01   -0.14942E-07    0.23564E-04   -0.14942E-07    0.53904E-10
    47    0.13160E+04    0.81153E+00    0.22539E-04    0.81153E+00    0.10431E+00   -0.16536E-07    0.22539E-04   -0.16536E-07    0.51401E-10
    48    0.13349E+04    0.64505E+00    0.21571E-04    0.64505E+00    0.11160E+00   -0.17297E-07    0.21571E-04   -0.17297E-07    0.49050E-10
    49    0.13539E+04    0.47216E+00    0.20659E-04    0.47216E+00    0.11916E+00   -0.17406E-07    0.20659E-04   -0.17406E-07    0.46840E-10
    50    0.13733E+04    0.28924E+00    0.19805E-04    0.28924E+00    0.12695E+00   -0.17049E-07    0.19805E-04   -0.17049E-07    0.44759E-10
    51    0.13930E+04    0.91375E-01    0.19007E-04    0.91375E-01    0.13493E+00   -0.16383E-07    0.19007E-04   -0.16383E-07    0.42797E-10
    52    0.14131E+04   -0.12579E+00    0.18259E-04   -0.12579E+00    0.14319E+00   -0.15470E-07    0.18259E-04   -0.15470E-07    0.40946E-10
    53    0.14332E+04   -0.36464E+00    0.17557E-04   -0.36464E+00    0.15189E+00   -0.14350E-07    0.17557E-04   -0.14350E-07    0.39200E-10
    54    0.14533E+04   -0.61957E+00    0.16893E-04   -0.61957E+00    0.16103E+00   -0.13059E-07    0.16893E-04   -0.13059E-07    0.37549E-10
    55    0.14736E+04   -0.88488E+00    0.16263E-04   -0.88488E+00    0.17059E+00   -0.11637E-07    0.16263E-04   -0.11637E-07    0.35989E-10
    56    0.14942E+04   -0.11613E+01    0.15661E-04   -0.11613E+01    0.18044E+00   -0.10139E-07    0.15661E-04   -0.10139E-07    0.34511E-10
    57    0.15152E+04   -0.14492E+01    0.15085E-04   -0.14492E+01    0.19046E+00   -0.87007E-08    0.15085E-04   -0.87007E-08    0.33111E-10
    58    0.15365E+04   -0.17497E+01    0.14534E-04   -0.17497E+01    0.20065E+00   -0.74724E-08    0.14534E-04   -0.74724E-08    0.31784E-10
    59    0.15580E+04   -0.20645E+01    0.14007E-04   -0.20645E+01    0.21104E+00   -0.66068E-08    0.14007E-04   -0.66068E-08    0.30526E-10
    60    0.15797E+04   -0.23933E+01    0.13502E-04   -0.23933E+01    0.22168E+00   -0.62561E-08    0.13502E-04   -0.62561E-08    0.29331E-10
    61    0.16019E+04   -0.27359E+01    0.13020E-04   -0.27359E+01    0.23264E+00   -0.65187E-08    0.13020E-04   -0.65187E-08    0.28195E-10
    62    0.16240E+04   -0.30927E+01    0.12559E-04   -0.30927E+01    0.24392E+00   -0.72783E-08    0.12559E-04   -0.72783E-08    0.27115E-10
    63    0.16463E+04   -0.34640E+01    0.12120E-04   -0.34640E+01    0.25548E+00   -0.83648E-08    0.12120E-04   -0.83648E-08    0.26088E-10
    64    0.16690E+04   -0.38506E+01    0.11704E-04   -0.38506E+01    0.26735E+00   -0.96079E-08    0.11704E-04   -0.96079E-08    0.25111E-10
    65    0.16918E+04   -0.42523E+01    0.11309E-04   -0.42523E+01    0.27949E+00   -0.10838E-07    0.11309E-04   -0.10838E-07    0.24180E-10
    66    0.17150E+04   -0.46669E+01    0.10937E-04   -0.46669E+01    0.29185E+00   -0.11897E-07    0.10937E-04   -0.11897E-07    0.23293E-10
    67    0.17384E+04   -0.50919E+01    0.10585E-04   -0.50919E+01    0.30442E+00   -0.12681E-07    0.10585E-04   -0.12681E-07    0.22448E-10
    68    0.17623E+04   -0.55262E+01    0.10250E-04   -0.55262E+01    0.31724E+00   -0.13096E-07    0.10250E-04   -0.13096E-07    0.21642E-10
    69    0.17864E+04   -0.59686E+01    0.99310E-05   -0.59686E+01    0.33027E+00   -0.13050E-07    0.99310E-05   -0.13050E-07    0.20873E-10
    70    0.18108E+04   -0.64212E+01    0.96250E-05   -0.64212E+01    0.34353E+00   -0.12451E-07    0.96250E-05   -0.12451E-07    0.20138E-10
    71    0.18354E+04   -0.68868E+01    0.93300E-05   -0.68868E+01    0.35701E+00   -0.11269E-07    0.93300E-05   -0.11269E-07    0.19437E-10
    72    0.18603E+04   -0.73665E+01    0.90455E-05   -0.73665E+01    0.37069E+00   -0.97301E-08    0.90455E-05   -0.97301E-08    0.18766E-10
    73    0.18853E+04   -0.78606E+01    0.87712E-05   -0.78606E+01    0.38453E+00   -0.81204E-08    0.87712E-05   -0.81204E-08    0.18125E-10
    74    0.19105E+04   -0.83679E+01    0.85069E-05   -0.83679E+01    0.39850E+00   -0.67281E-08    0.85069E-05   -0.67281E-08    0.17511E-10
    75    0.19361E+04   -0.88864E+01    0.82522E-05   -0.88864E+01    0.41262E+00   -0.58410E-08    0.82522E-05   -0.58410E-08    0.16924E-10
    76    0.19620E+04   -0.94152E+01    0.80069E-05   -0.94152E+01    0.42689E+00   -0.56701E-08    0.80069E-05   -0.56701E-08    0.16361E-10
    77    0.19882E+04   -0.99541E+01    0.77711E-05   -0.99541E+01    0.44130E+00   -0.61200E-08    0.77711E-05   -0.61200E-08    0.15822E-10
    78    0.20149E+04   -0.10504E+02    0.75447E-05   -0.10504E+02    0.45588E+00   -0.70185E-08    0.75447E-05   -0.70185E-08    0.15305E-10
    79    0.20417E+04   -0.11062E+02    0.73276E-05   -0.11062E+02    0.47056E+00   -0.81936E-08    0.73276E-05   -0.81936E-08    0.14810E-10
    80    0.20689E+04   -0.11627E+02    0.71199E-05   -0.11627E+02    0.48536E+00   -0.94730E-08    0.71199E-05   -0.94730E-08    0.14334E-10
    81    0.20964E+04   -0.12202E+02    0.69214E-05   -0.12202E+02    0.50022E+00   -0.10699E-07    0.69214E-05   -0.10699E-07    0.13878E-10
    82    0.21242E+04   -0.12785E+02    0.67316E-05   -0.12785E+02    0.51516E+00   -0.11773E-07    0.67316E-05   -0.11773E-07    0.13440E-10
    83    0.21522E+04   -0.13376E+02    0.65499E-05   -0.13376E+02    0.53016E+00   -0.12609E-07    0.65499E-05   -0.12609E-07    0.13020E-10
    84    0.21805E+04   -0.13973E+02    0.63756E-05   -0.13973E+02    0.54520E+00   -0.13123E-07    0.63756E-05   -0.13123E-07    0.12616E-10
