#    L    TT             EE             BB             TE             PP             TP             EP          
    53    0.16954E+04    0.19933E+00    0.45042E-01   -0.24561E+01    0.18882E-06   -0.14599E-02   -0.16188E-05
    54    0.17109E+04    0.20956E+00    0.45978E-01   -0.27431E+01    0.18756E-06   -0.14361E-02   -0.15180E-05
    55    0.17265E+04    0.22021E+00    0.46892E-01   -0.30385E+01    0.18630E-06   -0.14127E-02   -0.14154E-05
    56    0.17425E+04    0.23112E+00    0.47784E-01   -0.33429E+01    0.18503E-06   -0.13896E-02   -0.13236E-05
    57    0.17588E+04    0.24219E+00    0.48652E-01   -0.36566E+01    0.18376E-06   -0.13671E-02   -0.12456E-05
    58    0.17754E+04    0.25341E+00    0.49495E-01   -0.39806E+01    0.18248E-06   -0.13451E-02   -0.11820E-05
    59    0.17921E+04    0.26482E+00    0.50312E-01   -0.43163E+01    0.18119E-06   -0.13237E-02   -0.11335E-05
    60    0.18090E+04    0.27645E+00    0.51103E-01   -0.46633E+01    0.17991E-06   -0.13030E-02   -0.11006E-05
    61    0.18264E+04    0.28839E+00    0.51866E-01   -0.50213E+01    0.17862E-06   -0.12829E-02   -0.10842E-05
    62    0.18437E+04    0.30064E+00    0.52602E-01   -0.53907E+01    0.17733E-06   -0.12635E-02   -0.10858E-05
    63    0.18612E+04    0.31314E+00    0.53309E-01   -0.57724E+01    0.17604E-06   -0.12444E-02   -0.11070E-05
    64    0.18790E+04    0.32593E+00    0.53987E-01   -0.61670E+01    0.17476E-06   -0.12257E-02   -0.11498E-05
    65    0.18970E+04    0.33897E+00    0.54636E-01   -0.65748E+01    0.17347E-06   -0.12071E-02   -0.12156E-05
    66    0.19152E+04    0.35221E+00    0.55255E-01   -0.69938E+01    0.17219E-06   -0.11886E-02   -0.13030E-05
    67    0.19337E+04    0.36564E+00    0.55844E-01   -0.74214E+01    0.17092E-06   -0.11701E-02   -0.13969E-05
    68    0.19527E+04    0.37928E+00    0.56402E-01   -0.78563E+01    0.16965E-06   -0.11518E-02   -0.14790E-05
    69    0.19718E+04    0.39311E+00    0.56929E-01   -0.82972E+01    0.16838E-06   -0.11338E-02   -0.15311E-05
    70    0.19914E+04    0.40714E+00    0.57424E-01   -0.87461E+01    0.16712E-06   -0.11160E-02   -0.15348E-05
    71    0.20111E+04    0.42137E+00    0.57888E-01   -0.92057E+01    0.16587E-06   -0.10986E-02   -0.14788E-05
    72    0.20310E+04    0.43577E+00    0.58319E-01   -0.96772E+01    0.16462E-06   -0.10816E-02   -0.13787E-05
    73    0.20512E+04    0.45030E+00    0.58718E-01   -0.10161E+02    0.16338E-06   -0.10650E-02   -0.12572E-05
    74    0.20716E+04    0.46495E+00    0.59085E-01   -0.10656E+02    0.16214E-06   -0.10488E-02   -0.11368E-05
    75    0.20923E+04    0.47973E+00    0.59420E-01   -0.11160E+02    0.16091E-06   -0.10330E-02   -0.10401E-05
    76    0.21134E+04    0.49465E+00    0.59723E-01   -0.11672E+02    0.15969E-06   -0.10175E-02   -0.98494E-06
    77    0.21349E+04    0.50969E+00    0.59995E-01   -0.12192E+02    0.15847E-06   -0.10024E-02   -0.97090E-06
    78    0.21568E+04    0.52488E+00    0.60235E-01   -0.12722E+02    0.15726E-06   -0.98760E-03   -0.99300E-06
    79    0.21789E+04    0.54015E+00    0.60443E-01   -0.13257E+02    0.15606E-06   -0.97304E-03   -0.10463E-05
    80    0.22015E+04    0.55550E+00    0.60620E-01   -0.13799E+02    0.15486E-06   -0.95870E-03   -0.11257E-05
    81    0.22243E+04    0.57089E+00    0.60766E-01   -0.14348E+02    0.15367E-06   -0.94452E-03   -0.12250E-05
    82    0.22474E+04    0.58633E+00    0.60881E-01   -0.14903E+02    0.15249E-06   -0.93050E-03   -0.13323E-05
    83    0.22709E+04    0.60180E+00    0.60964E-01   -0.15464E+02    0.15132E-06   -0.91667E-03   -0.14341E-05
    84    0.22946E+04    0.61728E+00    0.61016E-01   -0.16030E+02    0.15016E-06   -0.90301E-03   -0.15173E-05
