#    L    TT             EE             BB             TE             PP             TP             EP          
    54    0.17025E+04    0.20984E+00    0.46002E-01   -0.27468E+01    0.11466E-06    0.85017E-03   -0.75820E-06
    55    0.17182E+04    0.22050E+00    0.46916E-01   -0.30412E+01    0.11396E-06    0.83386E-03   -0.67213E-06
    56    0.17343E+04    0.23143E+00    0.47807E-01   -0.33449E+01    0.11326E-06    0.81806E-03   -0.59521E-06
    57    0.17507E+04    0.24251E+00    0.48674E-01   -0.36581E+01    0.11254E-06    0.80269E-03   -0.53057E-06
    58    0.17674E+04    0.25375E+00    0.49517E-01   -0.39820E+01    0.11182E-06    0.78767E-03   -0.47917E-06
    59    0.17842E+04    0.26517E+00    0.50334E-01   -0.43178E+01    0.11110E-06    0.77290E-03   -0.44199E-06
    60    0.18012E+04    0.27682E+00    0.51125E-01   -0.46653E+01    0.11036E-06    0.75831E-03   -0.41999E-06
    61    0.18187E+04    0.28877E+00    0.51887E-01   -0.50238E+01    0.10963E-06    0.74385E-03   -0.41424E-06
    62    0.18361E+04    0.30103E+00    0.52622E-01   -0.53942E+01    0.10889E-06    0.72960E-03   -0.42626E-06
    63    0.18536E+04    0.31355E+00    0.53329E-01   -0.57769E+01    0.10814E-06    0.71567E-03   -0.45766E-06
    64    0.18715E+04    0.32635E+00    0.54006E-01   -0.61728E+01    0.10739E-06    0.70219E-03   -0.51007E-06
    65    0.18895E+04    0.33940E+00    0.54654E-01   -0.65821E+01    0.10664E-06    0.68927E-03   -0.58509E-06
    66    0.19079E+04    0.35265E+00    0.55273E-01   -0.70026E+01    0.10590E-06    0.67699E-03   -0.68105E-06
    67    0.19265E+04    0.36608E+00    0.55861E-01   -0.74317E+01    0.10515E-06    0.66530E-03   -0.78313E-06
    68    0.19455E+04    0.37974E+00    0.56418E-01   -0.78679E+01    0.10440E-06    0.65410E-03   -0.87322E-06
    69    0.19648E+04    0.39358E+00    0.56945E-01   -0.83096E+01    0.10365E-06    0.64331E-03   -0.93326E-06
    70    0.19845E+04    0.40762E+00    0.57439E-01   -0.87589E+01    0.10290E-06    0.63284E-03   -0.94519E-06
    71    0.20043E+04    0.42187E+00    0.57902E-01   -0.92181E+01    0.10216E-06    0.62260E-03   -0.89773E-06
    72    0.20244E+04    0.43628E+00    0.58332E-01   -0.96888E+01    0.10141E-06    0.61256E-03   -0.80661E-06
    73    0.20446E+04    0.45083E+00    0.58730E-01   -0.10172E+02    0.10067E-06    0.60270E-03   -0.69427E-06
    74    0.20651E+04    0.46549E+00    0.59096E-01   -0.10665E+02    0.99928E-07    0.59302E-03   -0.58314E-06
    75    0.20860E+04    0.48029E+00    0.59430E-01   -0.11169E+02    0.99188E-07    0.58347E-03   -0.49560E-06
    76    0.21072E+04    0.49522E+00    0.59732E-01   -0.11681E+02    0.98449E-07    0.57406E-03   -0.44948E-06
    77    0.21287E+04    0.51028E+00    0.60003E-01   -0.12203E+02    0.97713E-07    0.56481E-03   -0.44426E-06
    78    0.21507E+04    0.52547E+00    0.60241E-01   -0.12734E+02    0.96979E-07    0.55575E-03   -0.47488E-06
    79    0.21730E+04    0.54075E+00    0.60449E-01   -0.13270E+02    0.96247E-07    0.54692E-03   -0.53629E-06
    80    0.21956E+04    0.55611E+00    0.60625E-01   -0.13814E+02    0.95518E-07    0.53835E-03   -0.62343E-06
    81    0.22185E+04    0.57151E+00    0.60769E-01   -0.14364E+02    0.94793E-07    0.53007E-03   -0.72991E-06
    82    0.22417E+04    0.58695E+00    0.60882E-01   -0.14921E+02    0.94071E-07    0.52206E-03   -0.84388E-06
    83    0.22653E+04    0.60242E+00    0.60964E-01   -0.15484E+02    0.93353E-07    0.51431E-03   -0.95217E-06
    84    0.22891E+04    0.61791E+00    0.61015E-01   -0.16052E+02    0.92638E-07    0.50681E-03   -0.10416E-05
    85    0.23132E+04    0.63339E+00    0.61034E-01   -0.16625E+02    0.91928E-07    0.49953E-03   -0.10991E-05
    86    0.23375E+04    0.64888E+00    0.61023E-01   -0.17203E+02    0.91222E-07    0.49246E-03   -0.11154E-05
    87    0.23624E+04    0.66433E+00    0.60980E-01   -0.17785E+02    0.90520E-07    0.48558E-03   -0.10977E-05
    88    0.23873E+04    0.67977E+00    0.60907E-01   -0.18372E+02    0.89824E-07    0.47887E-03   -0.10568E-05
    89    0.24126E+04    0.69518E+00    0.60804E-01   -0.18963E+02    0.89131E-07    0.47231E-03   -0.10039E-05
    90    0.24382E+04    0.71052E+00    0.60671E-01   -0.19558E+02    0.88443E-07    0.46588E-03   -0.95003E-06
    91    0.24641E+04    0.72577E+00    0.60510E-01   -0.20156E+02    0.87761E-07    0.45955E-03   -0.90413E-06
    92    0.24903E+04    0.74093E+00    0.60321E-01   -0.20756E+02    0.87083E-07    0.45334E-03   -0.86750E-06
    93    0.25169E+04    0.75599E+00    0.60103E-01   -0.21360E+02    0.86409E-07    0.44723E-03   -0.83945E-06
    94    0.25437E+04    0.77090E+00    0.59859E-01   -0.21964E+02    0.85741E-07    0.44123E-03   -0.81926E-06
    95    0.25708E+04    0.78568E+00    0.59589E-01   -0.22571E+02    0.85077E-07    0.43533E-03   -0.80626E-06
    96    0.25980E+04    0.80030E+00    0.59293E-01   -0.23179E+02    0.84419E-07    0.42954E-03   -0.79972E-06
    97    0.26258E+04    0.81474E+00    0.58973E-01   -0.23787E+02    0.83765E-07    0.42385E-03   -0.79898E-06
    98    0.26538E+04    0.82901E+00    0.58628E-01   -0.24394E+02    0.83116E-07    0.41827E-03   -0.80331E-06
    99    0.26820E+04    0.84307E+00    0.58260E-01   -0.25003E+02    0.82472E-07    0.41279E-03   -0.81204E-06
   100    0.27105E+04    0.85691E+00    0.57870E-01   -0.25608E+02    0.81834E-07    0.40742E-03   -0.82446E-06
   101    0.27393E+04    0.87060E+00    0.57457E-01   -0.26214E+02    0.81200E-07    0.40215E-03   -0.83988E-06
   102    0.27687E+04    0.88398E+00    0.57024E-01   -0.26817E+02    0.80571E-07    0.39699E-03   -0.85761E-06
   103    0.27981E+04    0.89713E+00    0.56569E-01   -0.27419E+02    0.79947E-07    0.39192E-03   -0.87695E-06
   104    0.28277E+04    0.91005E+00    0.56095E-01   -0.28017E+02    0.79328E-07    0.38696E-03   -0.89721E-06
   105    0.28576E+04    0.92267E+00    0.55602E-01   -0.28612E+02    0.78715E-07    0.38210E-03   -0.91770E-06
   106    0.28878E+04    0.93506E+00    0.55090E-01   -0.29204E+02    0.78106E-07    0.37735E-03   -0.93772E-06
   107    0.29180E+04    0.94708E+00    0.54561E-01   -0.29790E+02    0.77503E-07    0.37269E-03   -0.95659E-06
   108    0.29487E+04    0.95878E+00    0.54014E-01   -0.30373E+02    0.76905E-07    0.36814E-03   -0.97360E-06
   109    0.29796E+04    0.97012E+00    0.53451E-01   -0.30950E+02    0.76312E-07    0.36368E-03   -0.98808E-06
   110    0.30106E+04    0.98107E+00    0.52873E-01   -0.31519E+02    0.75725E-07    0.35933E-03   -0.99933E-06
   111    0.30418E+04    0.99172E+00    0.52279E-01   -0.32084E+02    0.75143E-07    0.35508E-03   -0.10068E-05
   112    0.30733E+04    0.10020E+01    0.51672E-01   -0.32642E+02    0.74566E-07    0.35092E-03   -0.10106E-05
   113    0.31051E+04    0.10119E+01    0.51051E-01   -0.33192E+02    0.73994E-07    0.34686E-03   -0.10111E-05
   114    0.31370E+04    0.10214E+01    0.50418E-01   -0.33733E+02    0.73427E-07    0.34289E-03   -0.10084E-05
   115    0.31692E+04    0.10305E+01    0.49773E-01   -0.34266E+02    0.72866E-07    0.33901E-03   -0.10028E-05
   116    0.32014E+04    0.10392E+01    0.49118E-01   -0.34790E+02    0.72310E-07    0.33521E-03   -0.99467E-06
   117    0.32340E+04    0.10474E+01    0.48452E-01   -0.35304E+02    0.71758E-07    0.33149E-03   -0.98417E-06
   118    0.32669E+04    0.10553E+01    0.47778E-01   -0.35808E+02    0.71212E-07    0.32786E-03   -0.97160E-06
   119    0.32997E+04    0.10627E+01    0.47095E-01   -0.36301E+02    0.70671E-07    0.32430E-03   -0.95722E-06
   120    0.33328E+04    0.10696E+01    0.46404E-01   -0.36783E+02    0.70135E-07    0.32081E-03   -0.94129E-06
   121    0.33659E+04    0.10762E+01    0.45707E-01   -0.37252E+02    0.69604E-07    0.31739E-03   -0.92407E-06
   122    0.33991E+04    0.10823E+01    0.45005E-01   -0.37710E+02    0.69079E-07    0.31404E-03   -0.90584E-06
   123    0.34325E+04    0.10878E+01    0.44297E-01   -0.38154E+02    0.68558E-07    0.31076E-03   -0.88684E-06
   124    0.34659E+04    0.10929E+01    0.43585E-01   -0.38584E+02    0.68041E-07    0.30753E-03   -0.86735E-06
   125    0.34994E+04    0.10974E+01    0.42870E-01   -0.39001E+02    0.67530E-07    0.30437E-03   -0.84762E-06
   126    0.35330E+04    0.11016E+01    0.42153E-01   -0.39403E+02    0.67024E-07    0.30126E-03   -0.82793E-06
   127    0.35666E+04    0.11052E+01    0.41433E-01   -0.39791E+02    0.66522E-07    0.29820E-03   -0.80852E-06
