#    L    TT             EE             TE             PP             TP          
    75    0.19810E+04    0.38098E+00   -0.82985E+01    0.49892E+07    0.74919E+04
    76    0.20049E+04    0.39435E+00   -0.87843E+01    0.49527E+07    0.73720E+04
    77    0.20290E+04    0.40786E+00   -0.92802E+01    0.49164E+07    0.72536E+04
    78    0.20536E+04    0.42155E+00   -0.97874E+01    0.48801E+07    0.71373E+04
    79    0.20783E+04    0.43535E+00   -0.10302E+02    0.48439E+07    0.70236E+04
    80    0.21032E+04    0.44927E+00   -0.10825E+02    0.48078E+07    0.69132E+04
    81    0.21284E+04    0.46326E+00   -0.11357E+02    0.47718E+07    0.68066E+04
    82    0.21538E+04    0.47735E+00   -0.11897E+02    0.47360E+07    0.67037E+04
    83    0.21794E+04    0.49149E+00   -0.12445E+02    0.47003E+07    0.66045E+04
    84    0.22052E+04    0.50570E+00   -0.12999E+02    0.46648E+07    0.65089E+04
    85    0.22312E+04    0.51994E+00   -0.13560E+02    0.46295E+07    0.64169E+04
    86    0.22573E+04    0.53422E+00   -0.14127E+02    0.45943E+07    0.63282E+04
    87    0.22838E+04    0.54852E+00   -0.14699E+02    0.45594E+07    0.62426E+04
    88    0.23103E+04    0.56285E+00   -0.15278E+02    0.45246E+07    0.61596E+04
    89    0.23372E+04    0.57719E+00   -0.15863E+02    0.44901E+07    0.60788E+04
    90    0.23643E+04    0.59150E+00   -0.16452E+02    0.44558E+07    0.59999E+04
    91    0.23915E+04    0.60578E+00   -0.17046E+02    0.44217E+07    0.59224E+04
    92    0.24190E+04    0.62002E+00   -0.17644E+02    0.43879E+07    0.58463E+04
    93    0.24467E+04    0.63420E+00   -0.18247E+02    0.43542E+07    0.57716E+04
    94    0.24746E+04    0.64830E+00   -0.18852E+02    0.43208E+07    0.56983E+04
    95    0.25027E+04    0.66230E+00   -0.19460E+02    0.42876E+07    0.56264E+04
    96    0.25308E+04    0.67620E+00   -0.20071E+02    0.42547E+07    0.55558E+04
    97    0.25594E+04    0.68998E+00   -0.20685E+02    0.42219E+07    0.54866E+04
    98    0.25882E+04    0.70364E+00   -0.21298E+02    0.41894E+07    0.54187E+04
    99    0.26170E+04    0.71714E+00   -0.21913E+02    0.41572E+07    0.53522E+04
   100    0.26461E+04    0.73047E+00   -0.22527E+02    0.41252E+07    0.52870E+04
   101    0.26754E+04    0.74370E+00   -0.23142E+02    0.40934E+07    0.52232E+04
   102    0.27052E+04    0.75669E+00   -0.23757E+02    0.40619E+07    0.51606E+04
   103    0.27350E+04    0.76950E+00   -0.24371E+02    0.40306E+07    0.50993E+04
   104    0.27649E+04    0.78213E+00   -0.24982E+02    0.39995E+07    0.50394E+04
   105    0.27950E+04    0.79452E+00   -0.25591E+02    0.39687E+07    0.49807E+04
   106    0.28253E+04    0.80674E+00   -0.26198E+02    0.39382E+07    0.49233E+04
   107    0.28556E+04    0.81863E+00   -0.26801E+02    0.39079E+07    0.48671E+04
   108    0.28862E+04    0.83028E+00   -0.27400E+02    0.38779E+07    0.48122E+04
   109    0.29170E+04    0.84161E+00   -0.27996E+02    0.38481E+07    0.47586E+04
   110    0.29478E+04    0.85262E+00   -0.28585E+02    0.38186E+07    0.47061E+04
   111    0.29788E+04    0.86339E+00   -0.29170E+02    0.37893E+07    0.46550E+04
   112    0.30100E+04    0.87383E+00   -0.29749E+02    0.37603E+07    0.46050E+04
   113    0.30414E+04    0.88396E+00   -0.30322E+02    0.37315E+07    0.45561E+04
   114    0.30728E+04    0.89371E+00   -0.30887E+02    0.37030E+07    0.45084E+04
   115    0.31045E+04    0.90321E+00   -0.31444E+02    0.36748E+07    0.44617E+04
   116    0.31362E+04    0.91225E+00   -0.31993E+02    0.36468E+07    0.44161E+04
   117    0.31682E+04    0.92090E+00   -0.32533E+02    0.36190E+07    0.43716E+04
   118    0.32003E+04    0.92932E+00   -0.33064E+02    0.35916E+07    0.43279E+04
   119    0.32325E+04    0.93735E+00   -0.33585E+02    0.35643E+07    0.42853E+04
   120    0.32648E+04    0.94486E+00   -0.34095E+02    0.35373E+07    0.42435E+04
   121    0.32971E+04    0.95213E+00   -0.34595E+02    0.35106E+07    0.42026E+04
   122    0.33295E+04    0.95887E+00   -0.35083E+02    0.34841E+07    0.41625E+04
   123    0.33620E+04    0.96516E+00   -0.35559E+02    0.34578E+07    0.41232E+04
   124    0.33945E+04    0.97107E+00   -0.36021E+02    0.34318E+07    0.40847E+04
   125    0.34270E+04    0.97653E+00   -0.36471E+02    0.34061E+07    0.40469E+04
   126    0.34596E+04    0.98162E+00   -0.36908E+02    0.33805E+07    0.40097E+04
   127    0.34923E+04    0.98618E+00   -0.37331E+02    0.33553E+07    0.39732E+04
   128    0.35249E+04    0.99037E+00   -0.37740E+02    0.33302E+07    0.39374E+04
   129    0.35576E+04    0.99404E+00   -0.38133E+02    0.33054E+07    0.39021E+04
   130    0.35902E+04    0.99719E+00   -0.38511E+02    0.32809E+07    0.38673E+04
   131    0.36229E+04    0.99997E+00   -0.38873E+02    0.32565E+07    0.38331E+04
   132    0.36557E+04    0.10022E+01   -0.39219E+02    0.32324E+07    0.37993E+04
   133    0.36884E+04    0.10041E+01   -0.39549E+02    0.32086E+07    0.37660E+04
   134    0.37211E+04    0.10054E+01   -0.39859E+02    0.31850E+07    0.37332E+04
   135    0.37538E+04    0.10063E+01   -0.40153E+02    0.31616E+07    0.37009E+04
   136    0.37863E+04    0.10067E+01   -0.40426E+02    0.31384E+07    0.36689E+04
   137    0.38188E+04    0.10067E+01   -0.40681E+02    0.31154E+07    0.36374E+04
   138    0.38512E+04    0.10061E+01   -0.40917E+02    0.30927E+07    0.36063E+04
   139    0.38834E+04    0.10052E+01   -0.41132E+02    0.30702E+07    0.35757E+04
   140    0.39157E+04    0.10038E+01   -0.41328E+02    0.30479E+07    0.35454E+04
   141    0.39477E+04    0.10018E+01   -0.41502E+02    0.30259E+07    0.35154E+04
   142    0.39797E+04    0.99945E+00   -0.41655E+02    0.30040E+07    0.34859E+04
   143    0.40116E+04    0.99668E+00   -0.41788E+02    0.29824E+07    0.34567E+04
   144    0.40433E+04    0.99342E+00   -0.41898E+02    0.29609E+07    0.34278E+04
   145    0.40748E+04    0.98983E+00   -0.41987E+02    0.29397E+07    0.33992E+04
   146    0.41064E+04    0.98569E+00   -0.42053E+02    0.29187E+07    0.33710E+04
   147    0.41375E+04    0.98123E+00   -0.42095E+02    0.28979E+07    0.33431E+04
   148    0.41685E+04    0.97629E+00   -0.42115E+02    0.28773E+07    0.33154E+04
   149    0.41994E+04    0.97096E+00   -0.42112E+02    0.28568E+07    0.32880E+04
   150    0.42300E+04    0.96531E+00   -0.42083E+02    0.28366E+07    0.32609E+04
   151    0.42604E+04    0.95928E+00   -0.42030E+02    0.28166E+07    0.32340E+04
   152    0.42904E+04    0.95278E+00   -0.41954E+02    0.27968E+07    0.32074E+04
   153    0.43203E+04    0.94598E+00   -0.41851E+02    0.27772E+07    0.31811E+04
   154    0.43499E+04    0.93886E+00   -0.41723E+02    0.27577E+07    0.31549E+04
   155    0.43793E+04    0.93145E+00   -0.41571E+02    0.27385E+07    0.31291E+04
   156    0.44083E+04    0.92373E+00   -0.41394E+02    0.27194E+07    0.31034E+04
   157    0.44372E+04    0.91571E+00   -0.41190E+02    0.27005E+07    0.30781E+04
   158    0.44658E+04    0.90748E+00   -0.40961E+02    0.26819E+07    0.30529E+04
   159    0.44940E+04    0.89887E+00   -0.40706E+02    0.26634E+07    0.30281E+04
   160    0.45220E+04    0.89004E+00   -0.40425E+02    0.26450E+07    0.30035E+04
   161    0.45498E+04    0.88108E+00   -0.40117E+02    0.26269E+07    0.29791E+04
   162    0.45772E+04    0.87183E+00   -0.39785E+02    0.26089E+07    0.29550E+04
   163    0.46045E+04    0.86237E+00   -0.39425E+02    0.25911E+07    0.29311E+04
   164    0.46313E+04    0.85277E+00   -0.39040E+02    0.25735E+07    0.29075E+04
   165    0.46579E+04    0.84297E+00   -0.38628E+02    0.25561E+07    0.28842E+04
   166    0.46843E+04    0.83312E+00   -0.38189E+02    0.25388E+07    0.28611E+04
   167    0.47103E+04    0.82300E+00   -0.37726E+02    0.25217E+07    0.28382E+04
   168    0.47360E+04    0.81297E+00   -0.37234E+02    0.25048E+07    0.28157E+04
   169    0.47613E+04    0.80275E+00   -0.36716E+02    0.24880E+07    0.27933E+04
   170    0.47863E+04    0.79257E+00   -0.36171E+02    0.24714E+07    0.27713E+04
   171    0.48108E+04    0.78241E+00   -0.35599E+02    0.24549E+07    0.27495E+04
   172    0.48350E+04    0.77222E+00   -0.35000E+02    0.24387E+07    0.27279E+04
   173    0.48586E+04    0.76199E+00   -0.34374E+02    0.24226E+07    0.27066E+04
   174    0.48820E+04    0.75203E+00   -0.33722E+02    0.24066E+07    0.26856E+04
   175    0.49050E+04    0.74203E+00   -0.33043E+02    0.23908E+07    0.26648E+04
   176    0.49275E+04    0.73223E+00   -0.32336E+02    0.23751E+07    0.26443E+04
   177    0.49496E+04    0.72255E+00   -0.31604E+02    0.23596E+07    0.26241E+04
   178    0.49712E+04    0.71323E+00   -0.30845E+02    0.23443E+07    0.26041E+04
   179    0.49924E+04    0.70395E+00   -0.30059E+02    0.23291E+07    0.25843E+04
   180    0.50132E+04    0.69496E+00   -0.29248E+02    0.23141E+07    0.25648E+04
   181    0.50336E+04    0.68625E+00   -0.28411E+02    0.22992E+07    0.25455E+04
   182    0.50534E+04    0.67790E+00   -0.27548E+02    0.22844E+07    0.25264E+04
   183    0.50728E+04    0.66984E+00   -0.26659E+02    0.22698E+07    0.25075E+04
   184    0.50917E+04    0.66215E+00   -0.25744E+02    0.22553E+07    0.24888E+04
   185    0.51102E+04    0.65497E+00   -0.24806E+02    0.22410E+07    0.24704E+04
   186    0.51279E+04    0.64817E+00   -0.23841E+02    0.22268E+07    0.24521E+04
   187    0.51454E+04    0.64189E+00   -0.22852E+02    0.22127E+07    0.24340E+04
   188    0.51624E+04    0.63612E+00   -0.21839E+02    0.21988E+07    0.24161E+04
   189    0.51787E+04    0.63091E+00   -0.20801E+02    0.21850E+07    0.23984E+04
   190    0.51949E+04    0.62629E+00   -0.19740E+02    0.21714E+07    0.23808E+04
   191    0.52102E+04    0.62231E+00   -0.18654E+02    0.21578E+07    0.23634E+04
   192    0.52251E+04    0.61899E+00   -0.17545E+02    0.21444E+07    0.23461E+04
   193    0.52394E+04    0.61636E+00   -0.16415E+02    0.21312E+07    0.23290E+04
   194    0.52532E+04    0.61448E+00   -0.15260E+02    0.21180E+07    0.23120E+04
   195    0.52665E+04    0.61336E+00   -0.14084E+02    0.21050E+07    0.22951E+04
   196    0.52792E+04    0.61306E+00   -0.12886E+02    0.20921E+07    0.22784E+04
   197    0.52914E+04    0.61363E+00   -0.11668E+02    0.20793E+07    0.22618E+04
   198    0.53031E+04    0.61508E+00   -0.10428E+02    0.20666E+07    0.22453E+04
   199    0.53142E+04    0.61746E+00   -0.91674E+01    0.20541E+07    0.22289E+04
   200    0.53248E+04    0.62080E+00   -0.78873E+01    0.20417E+07    0.22126E+04
   201    0.53347E+04    0.62515E+00   -0.65869E+01    0.20293E+07    0.21964E+04
   202    0.53442E+04    0.63054E+00   -0.52676E+01    0.20171E+07    0.21802E+04
   203    0.53530E+04    0.63701E+00   -0.39289E+01    0.20050E+07    0.21642E+04
   204    0.53611E+04    0.64458E+00   -0.25736E+01    0.19930E+07    0.21482E+04
   205    0.53687E+04    0.65330E+00   -0.11996E+01    0.19811E+07    0.21324E+04
   206    0.53756E+04    0.66319E+00    0.19171E+00    0.19694E+07    0.21166E+04
   207    0.53820E+04    0.67428E+00    0.15999E+01    0.19577E+07    0.21009E+04
   208    0.53876E+04    0.68662E+00    0.30245E+01    0.19461E+07    0.20853E+04
   209    0.53926E+04    0.70023E+00    0.44649E+01    0.19347E+07    0.20698E+04
   210    0.53970E+04    0.71515E+00    0.59204E+01    0.19233E+07    0.20544E+04
   211    0.54008E+04    0.73141E+00    0.73907E+01    0.19121E+07    0.20391E+04
   212    0.54039E+04    0.74905E+00    0.88749E+01    0.19009E+07    0.20239E+04
   213    0.54064E+04    0.76809E+00    0.10373E+02    0.18899E+07    0.20087E+04
   214    0.54082E+04    0.78854E+00    0.11884E+02    0.18789E+07    0.19936E+04
   215    0.54094E+04    0.81057E+00    0.13406E+02    0.18681E+07    0.19787E+04
   216    0.54100E+04    0.83401E+00    0.14941E+02    0.18573E+07    0.19638E+04
   217    0.54101E+04    0.85901E+00    0.16486E+02    0.18467E+07    0.19490E+04
   218    0.54094E+04    0.88555E+00    0.18042E+02    0.18361E+07    0.19343E+04
   219    0.54082E+04    0.91365E+00    0.19609E+02    0.18257E+07    0.19196E+04
   220    0.54064E+04    0.94344E+00    0.21183E+02    0.18153E+07    0.19051E+04
   221    0.54039E+04    0.97486E+00    0.22766E+02    0.18050E+07    0.18906E+04
   222    0.54009E+04    0.10080E+01    0.24357E+02    0.17948E+07    0.18763E+04
   223    0.53972E+04    0.10429E+01    0.25955E+02    0.17847E+07    0.18620E+04
   224    0.53929E+04    0.10794E+01    0.27559E+02    0.17747E+07    0.18478E+04
   225    0.53881E+04    0.11178E+01    0.29169E+02    0.17648E+07    0.18337E+04
   226    0.53826E+04    0.11580E+01    0.30783E+02    0.17550E+07    0.18197E+04
   227    0.53765E+04    0.12001E+01    0.32403E+02    0.17452E+07    0.18057E+04
   228    0.53698E+04    0.12439E+01    0.34026E+02    0.17356E+07    0.17919E+04
   229    0.53626E+04    0.12897E+01    0.35651E+02    0.17260E+07    0.17781E+04
   230    0.53547E+04    0.13373E+01    0.37278E+02    0.17165E+07    0.17644E+04
   231    0.53462E+04    0.13869E+01    0.38908E+02    0.17071E+07    0.17509E+04
   232    0.53371E+04    0.14384E+01    0.40538E+02    0.16978E+07    0.17374E+04
   233    0.53275E+04    0.14919E+01    0.42167E+02    0.16885E+07    0.17239E+04
   234    0.53171E+04    0.15475E+01    0.43796E+02    0.16794E+07    0.17106E+04
   235    0.53062E+04    0.16050E+01    0.45422E+02    0.16703E+07    0.16973E+04
   236    0.52946E+04    0.16646E+01    0.47047E+02    0.16613E+07    0.16842E+04
   237    0.52825E+04    0.17263E+01    0.48668E+02    0.16523E+07    0.16711E+04
