#    L    TT             EE             BB             TE             PP             TP             EP          
    54    0.17858E+04    0.20072E+00    0.45429E-01   -0.30181E+01    0.12751E-06    0.66370E-03   -0.58549E-06
    55    0.18018E+04    0.21088E+00    0.46343E-01   -0.33003E+01    0.12670E-06    0.64942E-03   -0.58975E-06
    56    0.18182E+04    0.22132E+00    0.47235E-01   -0.35894E+01    0.12588E-06    0.63593E-03   -0.61075E-06
    57    0.18347E+04    0.23190E+00    0.48105E-01   -0.38859E+01    0.12506E-06    0.62310E-03   -0.64185E-06
    58    0.18514E+04    0.24264E+00    0.48951E-01   -0.41915E+01    0.12422E-06    0.61075E-03   -0.67403E-06
    59    0.18681E+04    0.25355E+00    0.49772E-01   -0.45079E+01    0.12339E-06    0.59873E-03   -0.69832E-06
    60    0.18849E+04    0.26468E+00    0.50567E-01   -0.48354E+01    0.12254E-06    0.58685E-03   -0.70575E-06
    61    0.19021E+04    0.27610E+00    0.51336E-01   -0.51738E+01    0.12169E-06    0.57501E-03   -0.69144E-06
    62    0.19190E+04    0.28782E+00    0.52077E-01   -0.55239E+01    0.12084E-06    0.56327E-03   -0.66689E-06
    63    0.19360E+04    0.29979E+00    0.52791E-01   -0.58862E+01    0.11999E-06    0.55177E-03   -0.64768E-06
    64    0.19533E+04    0.31202E+00    0.53477E-01   -0.62613E+01    0.11913E-06    0.54063E-03   -0.64934E-06
    65    0.19706E+04    0.32450E+00    0.54134E-01   -0.66496E+01    0.11827E-06    0.52997E-03   -0.68740E-06
    66    0.19882E+04    0.33716E+00    0.54763E-01   -0.70487E+01    0.11742E-06    0.51990E-03   -0.77066E-06
    67    0.20059E+04    0.34999E+00    0.55363E-01   -0.74558E+01    0.11656E-06    0.51037E-03   -0.88122E-06
    68    0.20240E+04    0.36304E+00    0.55932E-01   -0.78695E+01    0.11570E-06    0.50132E-03   -0.99449E-06
    69    0.20422E+04    0.37627E+00    0.56471E-01   -0.82882E+01    0.11485E-06    0.49268E-03   -0.10859E-05
    70    0.20607E+04    0.38970E+00    0.56979E-01   -0.87135E+01    0.11399E-06    0.48439E-03   -0.11310E-05
    71    0.20793E+04    0.40332E+00    0.57456E-01   -0.91480E+01    0.11314E-06    0.47638E-03   -0.11127E-05
    72    0.20981E+04    0.41711E+00    0.57902E-01   -0.95932E+01    0.11230E-06    0.46861E-03   -0.10434E-05
    73    0.21170E+04    0.43103E+00    0.58316E-01   -0.10050E+02    0.11145E-06    0.46103E-03   -0.94321E-06
    74    0.21361E+04    0.44507E+00    0.58699E-01   -0.10517E+02    0.11061E-06    0.45359E-03   -0.83187E-06
    75    0.21555E+04    0.45925E+00    0.59050E-01   -0.10994E+02    0.10976E-06    0.44627E-03   -0.72928E-06
    76    0.21752E+04    0.47356E+00    0.59370E-01   -0.11479E+02    0.10893E-06    0.43901E-03   -0.65225E-06
    77    0.21951E+04    0.48798E+00    0.59660E-01   -0.11973E+02    0.10809E-06    0.43185E-03   -0.60536E-06
    78    0.22155E+04    0.50255E+00    0.59918E-01   -0.12476E+02    0.10726E-06    0.42482E-03   -0.59019E-06
    79    0.22361E+04    0.51721E+00    0.60145E-01   -0.12985E+02    0.10643E-06    0.41795E-03   -0.60827E-06
    80    0.22570E+04    0.53195E+00    0.60342E-01   -0.13500E+02    0.10560E-06    0.41129E-03   -0.66115E-06
    81    0.22781E+04    0.54672E+00    0.60507E-01   -0.14022E+02    0.10478E-06    0.40485E-03   -0.74758E-06
    82    0.22995E+04    0.56154E+00    0.60642E-01   -0.14550E+02    0.10396E-06    0.39864E-03   -0.85494E-06
    83    0.23211E+04    0.57639E+00    0.60746E-01   -0.15084E+02    0.10315E-06    0.39266E-03   -0.96783E-06
