#    L    TxT            TxE            TxP            TxW1           TxW2           ExT            ExE            ExP            ExW1           ExW2           PxT            PxE            PxP            PxW1           PxW2           W1xT           W1xE           W1xP           W1xW1          W1xW2          W2xT           W2xE           W2xP           W2xW1          W2xW2       
     2   0.108960E+04   0.338502E+01   0.327362E-02   0.314430E-01   0.145512E-02   0.338502E+01   0.522749E-01  -0.160258E-04   0.852426E-06  -0.449467E-06   0.327362E-02  -0.160258E-04   0.499001E-07   0.304357E-06   0.242403E-07   0.314430E-01   0.852426E-06   0.304357E-06   0.113482E-04   0.119311E-06   0.145512E-02  -0.449467E-06   0.242403E-07   0.119311E-06   0.182606E-07
     3   0.102041E+04   0.423147E+01   0.326747E-02   0.394285E-01   0.166915E-02   0.423147E+01   0.858415E-01  -0.196496E-04   0.775410E-05  -0.837796E-07   0.326747E-02  -0.196496E-04   0.605065E-07   0.513193E-06   0.356265E-07   0.394285E-01   0.775410E-05   0.513193E-06   0.225509E-04   0.261521E-06   0.166915E-02  -0.837796E-07   0.356265E-07   0.261521E-06   0.362287E-07
     4   0.954300E+03   0.436098E+01   0.318937E-02   0.461907E-01   0.181193E-02   0.436098E+01   0.973147E-01  -0.198800E-04   0.882615E-05   0.966098E-07   0.318937E-02  -0.198800E-04   0.696016E-07   0.758391E-06   0.468497E-07   0.461907E-01   0.882615E-05   0.758391E-06   0.377689E-04   0.471108E-06   0.181193E-02   0.966098E-07   0.468497E-07   0.471108E-06   0.589408E-07
     5   0.902816E+03   0.405788E+01   0.308081E-02   0.521424E-01   0.190929E-02   0.405788E+01   0.872536E-01  -0.176596E-04   0.824051E-05   0.143821E-06   0.308081E-02  -0.176596E-04   0.774605E-07   0.103167E-05   0.575916E-07   0.521424E-01   0.824051E-05   0.103167E-05   0.573086E-04   0.750767E-06   0.190929E-02   0.143821E-06   0.575916E-07   0.750767E-06   0.853598E-07
     6   0.865194E+03   0.354782E+01   0.296247E-02   0.572995E-01   0.197132E-02   0.354782E+01   0.653182E-01  -0.138477E-04   0.746341E-05   0.157367E-06   0.296247E-02  -0.138477E-04   0.842765E-07   0.132539E-05   0.676363E-07   0.572995E-01   0.746341E-05   0.132539E-05   0.814128E-04   0.109987E-05   0.197132E-02   0.157367E-06   0.676363E-07   0.109987E-05   0.114483E-06
     7   0.839021E+03   0.297437E+01   0.284413E-02   0.616985E-01   0.200663E-02   0.297437E+01   0.421693E-01  -0.929023E-05   0.929129E-05   0.177114E-06   0.284413E-02  -0.929023E-05   0.902371E-07   0.163301E-05   0.769278E-07   0.616985E-01   0.929129E-05   0.163301E-05   0.110236E-03   0.151632E-05   0.200663E-02   0.177114E-06   0.769278E-07   0.151632E-05   0.145530E-06
     8   0.821382E+03   0.242589E+01   0.272658E-02   0.654896E-01   0.202197E-02   0.242589E+01   0.245606E-01  -0.477544E-05   0.104097E-04   0.182593E-06   0.272658E-02  -0.477544E-05   0.954770E-07   0.194922E-05   0.854401E-07   0.654896E-01   0.104097E-04   0.194922E-05   0.143793E-03   0.199699E-05   0.202197E-02   0.182593E-06   0.854401E-07   0.199699E-05   0.177835E-06
     9   0.810276E+03   0.194902E+01   0.260952E-02   0.687178E-01   0.202185E-02   0.194902E+01   0.143008E-01  -0.935893E-06   0.803334E-05   0.152825E-06   0.260952E-02  -0.935893E-06   0.100108E-06   0.226954E-05   0.931866E-07   0.687178E-01   0.803334E-05   0.226954E-05   0.182075E-03   0.253778E-05   0.202185E-02   0.152825E-06   0.931866E-07   0.253778E-05   0.210875E-06
    10   0.804278E+03   0.157032E+01   0.249531E-02   0.713391E-01   0.200878E-02   0.157032E+01   0.981259E-02   0.187125E-05   0.589796E-05   0.121000E-06   0.249531E-02   0.187125E-05   0.104198E-06   0.258918E-05   0.100186E-06   0.713391E-01   0.589796E-05   0.258918E-05   0.224864E-03   0.313283E-05   0.200878E-02   0.121000E-06   0.100186E-06   0.313283E-05   0.244213E-06
    11   0.801959E+03   0.130020E+01   0.238901E-02   0.734285E-01   0.198592E-02   0.130020E+01   0.837787E-02   0.355957E-05   0.627906E-05   0.122489E-06   0.238901E-02   0.355957E-05   0.107843E-06   0.290563E-05   0.106496E-06   0.734285E-01   0.627906E-05   0.290563E-05   0.272012E-03   0.377760E-05   0.198592E-02   0.122489E-06   0.106496E-06   0.377760E-05   0.277568E-06
