#    L    TxT            TxE            TxP            ExT            ExE            ExP            PxT            PxE            PxP         
    42    0.27151E+04   -0.16274E+01    0.59269E-05   -0.16274E+01    0.55878E-01   -0.11445E-06    0.59269E-05   -0.11445E-06    0.12184E-09
    43    0.27454E+04   -0.17417E+01    0.50030E-05   -0.17417E+01    0.60213E-01   -0.10989E-06    0.50030E-05   -0.10989E-06    0.11575E-09
    44    0.27741E+04   -0.18646E+01    0.41756E-05   -0.18646E+01    0.64758E-01   -0.10536E-06    0.41756E-05   -0.10536E-06    0.11006E-09
    45    0.28017E+04   -0.19967E+01    0.34282E-05   -0.19967E+01    0.69522E-01   -0.10020E-06    0.34282E-05   -0.10020E-06    0.10473E-09
    46    0.28282E+04   -0.21400E+01    0.27465E-05   -0.21400E+01    0.74515E-01   -0.94010E-07    0.27465E-05   -0.94010E-07    0.99720E-10
    47    0.28535E+04   -0.22933E+01    0.21258E-05   -0.22933E+01    0.79731E-01   -0.87170E-07    0.21258E-05   -0.87170E-07    0.95021E-10
    48    0.28776E+04   -0.24520E+01    0.15639E-05   -0.24520E+01    0.85168E-01   -0.80273E-07    0.15639E-05   -0.80273E-07    0.90606E-10
    49    0.29006E+04   -0.26119E+01    0.10583E-05   -0.26119E+01    0.90801E-01   -0.73910E-07    0.10583E-05   -0.73910E-07    0.86456E-10
    50    0.29227E+04   -0.27758E+01    0.60686E-06   -0.27758E+01    0.96598E-01   -0.68674E-07    0.60686E-06   -0.68674E-07    0.82549E-10
    51    0.29438E+04   -0.29477E+01    0.20639E-06   -0.29477E+01    0.10252E+00   -0.65001E-07    0.20639E-06   -0.65001E-07    0.78867E-10
    52    0.29641E+04   -0.31317E+01   -0.14924E-06   -0.31317E+01    0.10867E+00   -0.62699E-07   -0.14924E-06   -0.62699E-07    0.75393E-10
    53    0.29832E+04   -0.33299E+01   -0.46700E-06   -0.33299E+01    0.11518E+00   -0.61422E-07   -0.46700E-06   -0.61422E-07    0.72116E-10
    54    0.30013E+04   -0.35365E+01   -0.75383E-06   -0.35365E+01    0.12206E+00   -0.60825E-07   -0.75383E-06   -0.60825E-07    0.69021E-10
    55    0.30184E+04   -0.37454E+01   -0.10167E-05   -0.37454E+01    0.12930E+00   -0.60560E-07   -0.10167E-05   -0.60560E-07    0.66095E-10
    56    0.30349E+04   -0.39575E+01   -0.12613E-05   -0.39575E+01    0.13674E+00   -0.60307E-07   -0.12613E-05   -0.60307E-07    0.63326E-10
    57    0.30507E+04   -0.41736E+01   -0.14887E-05   -0.41736E+01    0.14427E+00   -0.59853E-07   -0.14887E-05   -0.59853E-07    0.60703E-10
    58    0.30660E+04   -0.43963E+01   -0.16988E-05   -0.43963E+01    0.15190E+00   -0.59012E-07   -0.16988E-05   -0.59012E-07    0.58218E-10
    59    0.30805E+04   -0.46278E+01   -0.18915E-05   -0.46278E+01    0.15964E+00   -0.57596E-07   -0.18915E-05   -0.57596E-07    0.55862E-10
    60    0.30943E+04   -0.48690E+01   -0.20665E-05   -0.48690E+01    0.16755E+00   -0.55419E-07   -0.20665E-05   -0.55419E-07    0.53626E-10
    61    0.31078E+04   -0.51203E+01   -0.22240E-05   -0.51203E+01    0.17571E+00   -0.52386E-07   -0.22240E-05   -0.52386E-07    0.51501E-10
    62    0.31205E+04   -0.53821E+01   -0.23649E-05   -0.53821E+01    0.18412E+00   -0.48772E-07   -0.23649E-05   -0.48772E-07    0.49482E-10
    63    0.31325E+04   -0.56543E+01   -0.24903E-05   -0.56543E+01    0.19273E+00   -0.44941E-07   -0.24903E-05   -0.44941E-07    0.47562E-10
    64    0.31442E+04   -0.59370E+01   -0.26015E-05   -0.59370E+01    0.20156E+00   -0.41262E-07   -0.26015E-05   -0.41262E-07    0.45736E-10
    65    0.31554E+04   -0.62300E+01   -0.26995E-05   -0.62300E+01    0.21061E+00   -0.38098E-07   -0.26995E-05   -0.38098E-07    0.43998E-10
    66    0.31662E+04   -0.65305E+01   -0.27855E-05   -0.65305E+01    0.21981E+00   -0.35729E-07   -0.27855E-05   -0.35729E-07    0.42343E-10
    67    0.31767E+04   -0.68363E+01   -0.28605E-05   -0.68363E+01    0.22915E+00   -0.34075E-07   -0.28605E-05   -0.34075E-07    0.40765E-10
    68    0.31871E+04   -0.71463E+01   -0.29254E-05   -0.71463E+01    0.23867E+00   -0.32967E-07   -0.29254E-05   -0.32967E-07    0.39262E-10
    69    0.31971E+04   -0.74594E+01   -0.29811E-05   -0.74594E+01    0.24833E+00   -0.32237E-07   -0.29811E-05   -0.32237E-07    0.37828E-10
    70    0.32069E+04   -0.77781E+01   -0.30287E-05   -0.77781E+01    0.25817E+00   -0.31718E-07   -0.30287E-05   -0.31718E-07    0.36459E-10
    71    0.32163E+04   -0.81050E+01   -0.30686E-05   -0.81050E+01    0.26817E+00   -0.31265E-07   -0.30686E-05   -0.31265E-07    0.35153E-10
    72    0.32255E+04   -0.84416E+01   -0.31000E-05   -0.84416E+01    0.27830E+00   -0.30826E-07   -0.31000E-05   -0.30826E-07    0.33904E-10
    73    0.32345E+04   -0.87882E+01   -0.31214E-05   -0.87882E+01    0.28853E+00   -0.30372E-07   -0.31214E-05   -0.30372E-07    0.32712E-10
    74    0.32432E+04   -0.91435E+01   -0.31316E-05   -0.91435E+01    0.29885E+00   -0.29875E-07   -0.31316E-05   -0.29875E-07    0.31571E-10
    75    0.32518E+04   -0.95058E+01   -0.31291E-05   -0.95058E+01    0.30927E+00   -0.29307E-07   -0.31291E-05   -0.29307E-07    0.30480E-10
    76    0.32604E+04   -0.98743E+01   -0.31132E-05   -0.98743E+01    0.31978E+00   -0.28643E-07   -0.31132E-05   -0.28643E-07    0.29436E-10
    77    0.32689E+04   -0.10249E+02   -0.30852E-05   -0.10249E+02    0.33039E+00   -0.27871E-07   -0.30852E-05   -0.27871E-07    0.28436E-10
    78    0.32776E+04   -0.10632E+02   -0.30467E-05   -0.10632E+02    0.34112E+00   -0.26983E-07   -0.30467E-05   -0.26983E-07    0.27479E-10
    79    0.32861E+04   -0.11019E+02   -0.29995E-05   -0.11019E+02    0.35192E+00   -0.25970E-07   -0.29995E-05   -0.25970E-07    0.26562E-10
    80    0.32946E+04   -0.11412E+02   -0.29455E-05   -0.11412E+02    0.36279E+00   -0.24824E-07   -0.29455E-05   -0.24824E-07    0.25683E-10
    81    0.33031E+04   -0.11812E+02   -0.28865E-05   -0.11812E+02    0.37368E+00   -0.23549E-07   -0.28865E-05   -0.23549E-07    0.24840E-10
