#    L    TxT            TxE            TxP            ExT            ExE            ExP            PxT            PxE            PxP         
    41    0.21094E+04    0.20485E+01   -0.15215E-03    0.20485E+01    0.62540E-01   -0.73237E-07   -0.15215E-03   -0.73237E-07    0.25903E-10
    42    0.20895E+04    0.19329E+01   -0.14586E-03    0.19329E+01    0.67663E-01   -0.68234E-07   -0.14586E-03   -0.68234E-07    0.24825E-10
    43    0.20718E+04    0.18112E+01   -0.13992E-03    0.18112E+01    0.73071E-01   -0.63806E-07   -0.13992E-03   -0.63806E-07    0.23807E-10
    44    0.20560E+04    0.16821E+01   -0.13429E-03    0.16821E+01    0.78762E-01   -0.59911E-07   -0.13429E-03   -0.59911E-07    0.22844E-10
    45    0.20423E+04    0.15444E+01   -0.12896E-03    0.15444E+01    0.84745E-01   -0.56505E-07   -0.12896E-03   -0.56505E-07    0.21932E-10
    46    0.20306E+04    0.13951E+01   -0.12391E-03    0.13951E+01    0.91028E-01   -0.53535E-07   -0.12391E-03   -0.53535E-07    0.21068E-10
    47    0.20205E+04    0.12342E+01   -0.11912E-03    0.12342E+01    0.97599E-01   -0.50913E-07   -0.11912E-03   -0.50913E-07    0.20247E-10
    48    0.20120E+04    0.10649E+01   -0.11457E-03    0.10649E+01    0.10445E+00   -0.48542E-07   -0.11457E-03   -0.48542E-07    0.19469E-10
    49    0.20051E+04    0.88983E+00   -0.11025E-03    0.88983E+00    0.11154E+00   -0.46324E-07   -0.11025E-03   -0.46324E-07    0.18730E-10
    50    0.19998E+04    0.70495E+00   -0.10614E-03    0.70495E+00    0.11884E+00   -0.44164E-07   -0.10614E-03   -0.44164E-07    0.18027E-10
    51    0.19960E+04    0.50510E+00   -0.10224E-03    0.50510E+00    0.12630E+00   -0.41996E-07   -0.10224E-03   -0.41996E-07    0.17359E-10
    52    0.19937E+04    0.28686E+00   -0.98527E-04    0.28686E+00    0.13402E+00   -0.39889E-07   -0.98527E-04   -0.39889E-07    0.16722E-10
    53    0.19924E+04    0.49011E-01   -0.94989E-04    0.49011E-01    0.14217E+00   -0.37942E-07   -0.94989E-04   -0.37942E-07    0.16116E-10
    54    0.19921E+04   -0.20165E+00   -0.91614E-04   -0.20165E+00    0.15075E+00   -0.36256E-07   -0.91614E-04   -0.36256E-07    0.15538E-10
    55    0.19928E+04   -0.45823E+00   -0.88391E-04   -0.45823E+00    0.15976E+00   -0.34931E-07   -0.88391E-04   -0.34931E-07    0.14987E-10
    56    0.19946E+04   -0.72075E+00   -0.85308E-04   -0.72075E+00    0.16906E+00   -0.34023E-07   -0.85308E-04   -0.34023E-07    0.14461E-10
    57    0.19975E+04   -0.99062E+00   -0.82359E-04   -0.99062E+00    0.17854E+00   -0.33402E-07   -0.82359E-04   -0.33402E-07    0.13958E-10
    58    0.20015E+04   -0.12708E+01   -0.79538E-04   -0.12708E+01    0.18819E+00   -0.32897E-07   -0.79538E-04   -0.32897E-07    0.13478E-10
    59    0.20064E+04   -0.15644E+01   -0.76841E-04   -0.15644E+01    0.19804E+00   -0.32332E-07   -0.76841E-04   -0.32332E-07    0.13018E-10
    60    0.20122E+04   -0.18728E+01   -0.74262E-04   -0.18728E+01    0.20811E+00   -0.31534E-07   -0.74262E-04   -0.31534E-07    0.12579E-10
