#    L    TxT            TxE            TxP            TxW1           TxW2           ExT            ExE            ExP            ExW1           ExW2           PxT            PxE            PxP            PxW1           PxW2           W1xT           W1xE           W1xP           W1xW1          W1xW2          W2xT           W2xE           W2xP           W2xW1          W2xW2       
     2   0.194360E+04   0.532581E+01   0.310204E-02   0.337136E-01   0.150679E-02   0.532581E+01   0.510823E-01  -0.155656E-04   0.175735E-05  -0.398371E-06   0.310204E-02  -0.155656E-04   0.490568E-07   0.304327E-06   0.242607E-07   0.337136E-01   0.175735E-05   0.304327E-06   0.116944E-04   0.120492E-06   0.150679E-02  -0.398371E-06   0.242607E-07   0.120492E-06   0.186536E-07
     3   0.188134E+04   0.642773E+01   0.320933E-02   0.422955E-01   0.175315E-02   0.642773E+01   0.835029E-01  -0.190462E-04   0.883450E-05  -0.546670E-07   0.320933E-02  -0.190462E-04   0.597636E-07   0.514495E-06   0.362383E-07   0.422955E-01   0.883450E-05   0.514495E-06   0.232525E-04   0.266747E-06   0.175315E-02  -0.546670E-07   0.362383E-07   0.266747E-06   0.378807E-07
     4   0.180155E+04   0.656453E+01   0.319893E-02   0.496082E-01   0.192409E-02   0.656453E+01   0.949971E-01  -0.192736E-04   0.938286E-05   0.119095E-06   0.319893E-02  -0.192736E-04   0.690390E-07   0.762447E-06   0.483646E-07   0.496082E-01   0.938286E-05   0.762447E-06   0.389930E-04   0.484224E-06   0.192409E-02   0.119095E-06   0.483646E-07   0.484224E-06   0.629148E-07
     5   0.173098E+04   0.614237E+01   0.313749E-02   0.561243E-01   0.205050E-02   0.614237E+01   0.859356E-01  -0.171637E-04   0.963913E-05   0.178271E-06   0.313749E-02  -0.171637E-04   0.771410E-07   0.104067E-05   0.602923E-07   0.561243E-01   0.963913E-05   0.104067E-05   0.592875E-04   0.777050E-06   0.205050E-02   0.178271E-06   0.602923E-07   0.777050E-06   0.928903E-07
     6   0.167242E+04   0.546351E+01   0.305666E-02   0.619442E-01   0.214281E-02   0.546351E+01   0.651914E-01  -0.135622E-04   0.852317E-05   0.178272E-06   0.305666E-02  -0.135622E-04   0.842492E-07   0.134227E-05   0.717687E-07   0.619442E-01   0.852317E-05   0.134227E-05   0.844656E-04   0.114615E-05   0.214281E-02   0.178272E-06   0.717687E-07   0.114615E-05   0.126890E-06
     7   0.162416E+04   0.471441E+01   0.296670E-02   0.670331E-01   0.220750E-02   0.471441E+01   0.427682E-01  -0.925446E-05   0.691160E-05   0.163472E-06   0.296670E-02  -0.925446E-05   0.905407E-07   0.166142E-05   0.826995E-07   0.670331E-01   0.691160E-05   0.166142E-05   0.114786E-03   0.159104E-05   0.220750E-02   0.163472E-06   0.826995E-07   0.159104E-05   0.164161E-06
     8   0.158285E+04   0.400283E+01   0.286786E-02   0.714290E-01   0.224986E-02   0.400283E+01   0.252371E-01  -0.490823E-05   0.959171E-05   0.174250E-06   0.286786E-02  -0.490823E-05   0.961425E-07   0.199345E-05   0.930235E-07   0.714290E-01   0.959171E-05   0.199345E-05   0.150382E-03   0.211040E-05   0.224986E-02   0.174250E-06   0.930235E-07   0.211040E-05   0.204025E-06
     9   0.154723E+04   0.338074E+01   0.276293E-02   0.752915E-01   0.227505E-02   0.338074E+01   0.146218E-01  -0.109908E-05   0.120796E-04   0.190582E-06   0.276293E-02  -0.109908E-05   0.101160E-06   0.233442E-05   0.102722E-06   0.752915E-01   0.120796E-04   0.233442E-05   0.191380E-03   0.270190E-05   0.227505E-02   0.190582E-06   0.102722E-06   0.270190E-05   0.245915E-06
    10   0.151563E+04   0.286990E+01   0.266002E-02   0.786690E-01   0.228659E-02   0.286990E+01   0.969137E-02   0.173830E-05   0.989468E-05   0.177875E-06   0.266002E-02   0.173830E-05   0.105657E-06   0.267992E-05   0.111782E-06   0.786690E-01   0.989468E-05   0.267992E-05   0.237693E-03   0.336137E-05   0.228659E-02   0.177875E-06   0.111782E-06   0.336137E-05   0.289329E-06
    11   0.148728E+04   0.247885E+01   0.256633E-02   0.815786E-01   0.228738E-02   0.247885E+01   0.796300E-02   0.343457E-05   0.705252E-05   0.148554E-06   0.256633E-02   0.343457E-05   0.109724E-06   0.302775E-05   0.120238E-06   0.815786E-01   0.705252E-05   0.302775E-05   0.289324E-03   0.408596E-05   0.228738E-02   0.148554E-06   0.120238E-06   0.408596E-05   0.333918E-06
