#    L    TxT            TxE            TxP            TxW1           TxW2           ExT            ExE            ExP            ExW1           ExW2           PxT            PxE            PxP            PxW1           PxW2           W1xT           W1xE           W1xP           W1xW1          W1xW2          W2xT           W2xE           W2xP           W2xW1          W2xW2       
     2   0.109076E+04   0.338686E+01   0.327833E-02   0.314646E-01   0.145876E-02   0.338686E+01   0.522799E-01  -0.160216E-04   0.806627E-06  -0.444491E-06   0.327833E-02  -0.160216E-04   0.500343E-07   0.304829E-06   0.243715E-07   0.314646E-01   0.806627E-06   0.304829E-06   0.113623E-04   0.119730E-06   0.145876E-02  -0.444491E-06   0.243715E-07   0.119730E-06   0.183956E-07
     3   0.102163E+04   0.423298E+01   0.327353E-02   0.394601E-01   0.167524E-02   0.423298E+01   0.858480E-01  -0.196523E-04   0.784036E-05  -0.846893E-07   0.327353E-02  -0.196523E-04   0.606923E-07   0.514185E-06   0.358651E-07   0.394601E-01   0.784036E-05   0.514185E-06   0.225830E-04   0.262619E-06   0.167524E-02  -0.846893E-07   0.358651E-07   0.262619E-06   0.365609E-07
     4   0.955500E+03   0.436237E+01   0.319595E-02   0.462605E-01   0.181992E-02   0.436237E+01   0.973200E-01  -0.198919E-04   0.883877E-05   0.858992E-07   0.319595E-02  -0.198919E-04   0.698384E-07   0.760138E-06   0.472162E-07   0.462605E-01   0.883877E-05   0.760138E-06   0.378313E-04   0.473341E-06   0.181992E-02   0.858992E-07   0.472162E-07   0.473341E-06   0.595732E-07
     5   0.903956E+03   0.405972E+01   0.308732E-02   0.522207E-01   0.191865E-02   0.405972E+01   0.872571E-01  -0.176556E-04   0.823180E-05   0.150843E-06   0.308732E-02  -0.176556E-04   0.777477E-07   0.103445E-05   0.581024E-07   0.522207E-01   0.823180E-05   0.103445E-05   0.574191E-04   0.754703E-06   0.191865E-02   0.150843E-06   0.581024E-07   0.754703E-06   0.864008E-07
     6   0.866337E+03   0.355043E+01   0.296965E-02   0.574113E-01   0.198284E-02   0.355043E+01   0.653202E-01  -0.138246E-04   0.918564E-05   0.182569E-06   0.296965E-02  -0.138246E-04   0.846132E-07   0.132950E-05   0.683038E-07   0.574113E-01   0.918564E-05   0.132950E-05   0.815961E-04   0.110619E-05   0.198284E-02   0.182569E-06   0.683038E-07   0.110619E-05   0.116041E-06
     7   0.840242E+03   0.297595E+01   0.285282E-02   0.619329E-01   0.202101E-02   0.297595E+01   0.421699E-01  -0.929512E-05   0.858714E-05   0.172712E-06   0.285282E-02  -0.929512E-05   0.906223E-07   0.163877E-05   0.777615E-07   0.619329E-01   0.858714E-05   0.163877E-05   0.110524E-03   0.152579E-05   0.202101E-02   0.172712E-06   0.777615E-07   0.152579E-05   0.147711E-06
     8   0.822601E+03   0.242517E+01   0.273599E-02   0.657849E-01   0.203837E-02   0.242517E+01   0.245606E-01  -0.483005E-05   0.596811E-05   0.139918E-06   0.273599E-02  -0.483005E-05   0.959098E-07   0.195698E-05   0.864470E-07   0.657849E-01   0.596811E-05   0.195698E-05   0.144226E-03   0.201050E-05   0.203837E-02   0.139918E-06   0.864470E-07   0.201050E-05   0.180741E-06
     9   0.811392E+03   0.194955E+01   0.261815E-02   0.689763E-01   0.203916E-02   0.194955E+01   0.142999E-01  -0.973310E-06   0.585788E-05   0.130580E-06   0.261815E-02  -0.973310E-06   0.100587E-06   0.227964E-05   0.943714E-07   0.689763E-01   0.585788E-05   0.227964E-05   0.182701E-03   0.255630E-05   0.203916E-02   0.130580E-06   0.943714E-07   0.255630E-05   0.214601E-06
    10   0.805313E+03   0.157310E+01   0.250313E-02   0.715864E-01   0.202704E-02   0.157310E+01   0.981218E-02   0.192024E-05   0.802102E-05   0.150763E-06   0.250313E-02   0.192024E-05   0.104724E-06   0.260197E-05   0.101551E-06   0.715864E-01   0.802102E-05   0.260197E-05   0.225740E-03   0.315741E-05   0.202704E-02   0.150763E-06   0.101551E-06   0.315741E-05   0.248850E-06
    11   0.802984E+03   0.130387E+01   0.239758E-02   0.737336E-01   0.200579E-02   0.130387E+01   0.837863E-02   0.364156E-05   0.906861E-05   0.161483E-06   0.239758E-02   0.364156E-05   0.108413E-06   0.292144E-05   0.108044E-06   0.737336E-01   0.906861E-05   0.292144E-05   0.273201E-03   0.380936E-05   0.200579E-02   0.161483E-06   0.108044E-06   0.380936E-05   0.283200E-06
    12   0.804694E+03   0.114047E+01   0.230131E-02   0.754168E-01   0.197684E-02   0.114047E+01   0.783235E-02   0.416019E-05   0.830911E-05   0.142990E-06   0.230131E-02   0.416019E-05   0.111661E-06   0.323360E-05   0.113844E-06   0.754168E-01   0.830911E-05   0.323360E-05   0.324692E-03   0.450416E-05   0.197684E-02   0.142990E-06   0.113844E-06   0.450416E-05   0.317269E-06
    13   0.808006E+03   0.106489E+01   0.221591E-02   0.767013E-01   0.194276E-02   0.106489E+01   0.717342E-02   0.369179E-05   0.709522E-05   0.115775E-06   0.221591E-02   0.369179E-05   0.114570E-06   0.353766E-05   0.119053E-06   0.767013E-01   0.709522E-05   0.353766E-05   0.379993E-03   0.523810E-05   0.194276E-02   0.115775E-06   0.119053E-06   0.523810E-05   0.351006E-06
