#    L    TxT            TxE            TxP            TxW1           TxW2           ExT            ExE            ExP            ExW1           ExW2           PxT            PxE            PxP            PxW1           PxW2           W1xT           W1xE           W1xP           W1xW1          W1xW2          W2xT           W2xE           W2xP           W2xW1          W2xW2       
     2   0.817840E+04   0.118252E+02   0.164566E-02   0.336372E-01   0.160972E-02   0.118252E+02   0.385350E-01  -0.128343E-04   0.235307E-05  -0.316896E-06   0.164566E-02  -0.128343E-04   0.500759E-07   0.295336E-06   0.274936E-07   0.336372E-01   0.235307E-05   0.295336E-06   0.111508E-04   0.125283E-06   0.160972E-02  -0.316896E-06   0.274936E-07   0.125283E-06   0.224463E-07
     3   0.828359E+04   0.140904E+02   0.221915E-02   0.428685E-01   0.198927E-02   0.140904E+02   0.664306E-01  -0.160730E-04   0.878937E-05  -0.197565E-07   0.221915E-02  -0.160730E-04   0.616959E-07   0.504861E-06   0.427521E-07   0.428685E-01   0.878937E-05   0.504861E-06   0.220844E-04   0.285011E-06   0.198927E-02  -0.197565E-07   0.427521E-07   0.285011E-06   0.479097E-07
     4   0.830265E+04   0.147133E+02   0.249192E-02   0.508119E-01   0.226000E-02   0.147133E+02   0.826484E-01  -0.170391E-04   0.103435E-04   0.124474E-06   0.249192E-02  -0.170391E-04   0.719970E-07   0.757168E-06   0.589698E-07   0.508119E-01   0.103435E-04   0.757168E-06   0.370345E-04   0.528073E-06   0.226000E-02   0.124474E-06   0.589698E-07   0.528073E-06   0.828687E-07
     5   0.831412E+04   0.143153E+02   0.262704E-02   0.582284E-01   0.247714E-02   0.143153E+02   0.839926E-01  -0.162616E-04   0.924337E-05   0.202867E-06   0.262704E-02  -0.162616E-04   0.812006E-07   0.104658E-05   0.756684E-07   0.582284E-01   0.924337E-05   0.104658E-05   0.564966E-04   0.862479E-06   0.247714E-02   0.202867E-06   0.756684E-07   0.862479E-06   0.126799E-06
     6   0.833020E+04   0.133785E+02   0.270014E-02   0.650851E-01   0.265735E-02   0.133785E+02   0.733809E-01  -0.142205E-04   0.111462E-04   0.247838E-06   0.270014E-02  -0.142205E-04   0.894603E-07   0.136764E-05   0.924706E-07   0.650851E-01   0.111462E-04   0.136764E-05   0.809720E-04   0.129289E-05   0.265735E-02   0.247838E-06   0.924706E-07   0.129289E-05   0.178930E-06
     7   0.835270E+04   0.122144E+02   0.273035E-02   0.715698E-01   0.280642E-02   0.122144E+02   0.565457E-01  -0.114207E-04   0.101385E-04   0.213494E-06   0.273035E-02  -0.114207E-04   0.969354E-07   0.171550E-05   0.109179E-06   0.715698E-01   0.101385E-04   0.171550E-05   0.110921E-03   0.182234E-05   0.280642E-02   0.213494E-06   0.109179E-06   0.182234E-05   0.238553E-06
     8   0.837168E+04   0.110053E+02   0.271835E-02   0.774709E-01   0.292674E-02   0.110053E+02   0.391158E-01  -0.825480E-05   0.449679E-05   0.160793E-06   0.271835E-02  -0.825480E-05   0.103741E-06   0.208619E-05   0.125646E-06   0.774709E-01   0.449679E-05   0.208619E-05   0.146695E-03   0.245289E-05   0.292674E-02   0.160793E-06   0.125646E-06   0.245289E-05   0.304948E-06
     9   0.838779E+04   0.986792E+01   0.267287E-02   0.826551E-01   0.302273E-02   0.986792E+01   0.248520E-01  -0.500314E-05   0.719407E-05   0.194773E-06   0.267287E-02  -0.500314E-05   0.109975E-06   0.247618E-05   0.141779E-06   0.826551E-01   0.719407E-05   0.247618E-05   0.188647E-03   0.318543E-05   0.302273E-02   0.194773E-06   0.141779E-06   0.318543E-05   0.377465E-06
    10   0.839526E+04   0.885172E+01   0.261856E-02   0.874475E-01   0.310047E-02   0.885172E+01   0.152209E-01  -0.197761E-05   0.157877E-04   0.278029E-06   0.261856E-02  -0.197761E-05   0.115692E-06   0.288115E-05   0.157496E-06   0.874475E-01   0.157877E-04   0.288115E-05   0.236928E-03   0.401851E-05   0.310047E-02   0.278029E-06   0.157496E-06   0.401851E-05   0.455448E-06
    11   0.840162E+04   0.798119E+01   0.257496E-02   0.920797E-01   0.316468E-02   0.798119E+01   0.983882E-02   0.454640E-06   0.160193E-04   0.277057E-06   0.257496E-02   0.454640E-06   0.120980E-06   0.329907E-05   0.172789E-06   0.920797E-01   0.160193E-04   0.329907E-05   0.291776E-03   0.495221E-05   0.316468E-02   0.277057E-06   0.172789E-06   0.495221E-05   0.538432E-06
    12   0.841160E+04   0.725782E+01   0.253854E-02   0.963093E-01   0.321432E-02   0.725782E+01   0.738679E-02   0.206535E-05   0.795166E-05   0.172575E-06   0.253854E-02   0.206535E-05   0.125834E-06   0.372544E-05   0.187553E-06   0.963093E-01   0.795166E-05   0.372544E-05   0.353161E-03   0.598204E-05   0.321432E-02   0.172575E-06   0.187553E-06   0.598204E-05   0.625673E-06
    13   0.840638E+04   0.667121E+01   0.250013E-02   0.100028E+00   0.325147E-02   0.667121E+01   0.645798E-02   0.293401E-05   0.251816E-05   0.834295E-07   0.250013E-02   0.293401E-05   0.130355E-06   0.415968E-05   0.201867E-06   0.100028E+00   0.251816E-05   0.415968E-05   0.421244E-03   0.710883E-05   0.325147E-02   0.834295E-07   0.201867E-06   0.710883E-05   0.716998E-06
    14   0.837746E+04   0.621230E+01   0.245422E-02   0.103265E+00   0.327685E-02   0.621230E+01   0.605741E-02   0.330367E-05   0.429608E-05   0.953297E-07   0.245422E-02   0.330367E-05   0.134523E-06   0.459773E-05   0.215640E-06   0.103265E+00   0.429608E-05   0.459773E-05   0.495866E-03   0.832639E-05   0.327685E-02   0.953297E-07   0.215640E-06   0.832639E-05   0.811715E-06
    15   0.834631E+04   0.586981E+01   0.240133E-02   0.106195E+00   0.329398E-02   0.586981E+01   0.573274E-02   0.330093E-05   0.879519E-05   0.168363E-06   0.240133E-02   0.330093E-05   0.138413E-06   0.503927E-05   0.228947E-06   0.106195E+00   0.879519E-05   0.503927E-05   0.577097E-03   0.963441E-05   0.329398E-02   0.168363E-06   0.228947E-06   0.963441E-05   0.909714E-06
    16   0.832263E+04   0.563297E+01   0.234895E-02   0.108837E+00   0.330367E-02   0.563297E+01   0.544566E-02   0.284124E-05   0.101236E-04   0.207558E-06   0.234895E-02   0.284124E-05   0.142023E-06   0.548157E-05   0.241750E-06   0.108837E+00   0.101236E-04   0.548157E-05   0.664750E-03   0.110279E-04   0.330367E-02   0.207558E-06   0.241750E-06   0.110279E-04   0.101050E-05
    17   0.830001E+04   0.548414E+01   0.229935E-02   0.111221E+00   0.330716E-02   0.548414E+01   0.532839E-02   0.198532E-05   0.862373E-05   0.200388E-06   0.229935E-02   0.198532E-05   0.145379E-06   0.592334E-05   0.254063E-06   0.111221E+00   0.862373E-05   0.592334E-05   0.758726E-03   0.125038E-04   0.330716E-02   0.200388E-06   0.254063E-06   0.125038E-04   0.111381E-05
    18   0.827032E+04   0.540910E+01   0.225252E-02   0.113375E+00   0.330579E-02   0.540910E+01   0.550897E-02   0.896759E-06   0.629406E-05   0.163094E-06   0.225252E-02   0.896759E-06   0.148516E-06   0.636370E-05   0.265921E-06   0.113375E+00   0.629406E-05   0.636370E-05   0.858937E-03   0.140593E-04   0.330579E-02   0.163094E-06   0.265921E-06   0.140593E-04   0.121948E-05
    19   0.823323E+04   0.540834E+01   0.220654E-02   0.115270E+00   0.329958E-02   0.540834E+01   0.600712E-02  -0.549537E-07   0.520259E-05   0.131223E-06   0.220654E-02  -0.549537E-07   0.151441E-06   0.680097E-05   0.277318E-06   0.115270E+00   0.520259E-05   0.680097E-05   0.965160E-03   0.156892E-04   0.329958E-02   0.131223E-06   0.277318E-06   0.156892E-04   0.132719E-05
    20   0.818773E+04   0.547496E+01   0.215988E-02   0.116878E+00   0.328852E-02   0.547496E+01   0.678368E-02  -0.550845E-06   0.668391E-05   0.133805E-06   0.215988E-02  -0.550845E-06   0.154159E-06   0.723351E-05   0.288251E-06   0.116878E+00   0.668391E-05   0.723351E-05   0.107715E-02   0.173882E-04   0.328852E-02   0.133805E-06   0.288251E-06   0.173882E-04   0.143665E-05
    21   0.813587E+04   0.560444E+01   0.211436E-02   0.118255E+00   0.327367E-02   0.560444E+01   0.775304E-02  -0.679845E-06   0.906917E-05   0.154502E-06   0.211436E-02  -0.679845E-06   0.156692E-06   0.766075E-05   0.298750E-06   0.118255E+00   0.906917E-05   0.766075E-05   0.119474E-02   0.191533E-04   0.327367E-02   0.154502E-06   0.298750E-06   0.191533E-04   0.154775E-05
    22   0.807914E+04   0.578888E+01   0.207186E-02   0.119459E+00   0.325615E-02   0.578888E+01   0.885897E-02  -0.609240E-06   0.103554E-04   0.169871E-06   0.207186E-02  -0.609240E-06   0.159062E-06   0.808224E-05   0.308847E-06   0.119459E+00   0.103554E-04   0.808224E-05   0.131774E-02   0.209814E-04   0.325615E-02   0.169871E-06   0.308847E-06   0.209814E-04   0.166040E-05
    23   0.801800E+04   0.602769E+01   0.203127E-02   0.120483E+00   0.323615E-02   0.602769E+01   0.101369E-01  -0.411828E-06   0.102067E-04   0.173443E-06   0.203127E-02  -0.411828E-06   0.161277E-06   0.849691E-05   0.318552E-06   0.120483E+00   0.102067E-04   0.849691E-05   0.144584E-02   0.228673E-04   0.323615E-02   0.173443E-06   0.318552E-06   0.228673E-04   0.177443E-05
    24   0.795351E+04   0.632143E+01   0.199099E-02   0.121310E+00   0.321374E-02   0.632143E+01   0.116454E-01  -0.112525E-06   0.879009E-05   0.164332E-06   0.199099E-02  -0.112525E-06   0.163344E-06   0.890369E-05   0.327872E-06   0.121310E+00   0.879009E-05   0.890369E-05   0.157871E-02   0.248053E-04   0.321374E-02   0.164332E-06   0.327872E-06   0.248053E-04   0.188966E-05
    25   0.788648E+04   0.666333E+01   0.195073E-02   0.121953E+00   0.318933E-02   0.666333E+01   0.134123E-01   0.360807E-06   0.661853E-05   0.147034E-06   0.195073E-02   0.360807E-06   0.165272E-06   0.930208E-05   0.336826E-06   0.121953E+00   0.661853E-05   0.930208E-05   0.171603E-02   0.267923E-04   0.318933E-02   0.147034E-06   0.336826E-06   0.267923E-04   0.200600E-05
    26   0.781713E+04   0.705628E+01   0.191068E-02   0.122433E+00   0.316341E-02   0.705628E+01   0.154540E-01   0.104919E-05   0.432519E-05   0.126951E-06   0.191068E-02   0.104919E-05   0.167075E-06   0.969171E-05   0.345437E-06   0.122433E+00   0.432519E-05   0.969171E-05   0.185750E-02   0.288255E-04   0.316341E-02   0.126951E-06   0.345437E-06   0.288255E-04   0.212338E-05
    27   0.774658E+04   0.749590E+01   0.187198E-02   0.122774E+00   0.313644E-02   0.749590E+01   0.177469E-01   0.177211E-05   0.267853E-05   0.107735E-06   0.187198E-02   0.177211E-05   0.168761E-06   0.100721E-04   0.353724E-06   0.122774E+00   0.267853E-05   0.100721E-04   0.200282E-02   0.309003E-04   0.313644E-02   0.107735E-06   0.353724E-06   0.309003E-04   0.224173E-05
    28   0.767515E+04   0.797035E+01   0.183553E-02   0.122994E+00   0.310871E-02   0.797035E+01   0.202278E-01   0.232542E-05   0.227854E-05   0.922820E-07   0.183553E-02   0.232542E-05   0.170337E-06   0.104428E-04   0.361699E-06   0.122994E+00   0.227854E-05   0.104428E-04   0.215171E-02   0.330119E-04   0.310871E-02   0.922820E-07   0.361699E-06   0.330119E-04   0.236096E-05
    29   0.760232E+04   0.847415E+01   0.180056E-02   0.123090E+00   0.308007E-02   0.847415E+01   0.228147E-01   0.263195E-05   0.291601E-05   0.822215E-07   0.180056E-02   0.263195E-05   0.171801E-06   0.108031E-04   0.369359E-06   0.123090E+00   0.291601E-05   0.108031E-04   0.230378E-02   0.351563E-04   0.308007E-02   0.822215E-07   0.369359E-06   0.351563E-04   0.248089E-05
    30   0.752795E+04   0.899038E+01   0.176611E-02   0.123057E+00   0.305040E-02   0.899038E+01   0.254430E-01   0.266936E-05   0.415597E-05   0.781866E-07   0.176611E-02   0.266936E-05   0.173154E-06   0.111524E-04   0.376707E-06   0.123057E+00   0.415597E-05   0.111524E-04   0.245867E-02   0.373300E-04   0.305040E-02   0.781866E-07   0.376707E-06   0.373300E-04   0.260134E-05
    31   0.745224E+04   0.952389E+01   0.173230E-02   0.122915E+00   0.302017E-02   0.952389E+01   0.281273E-01   0.250753E-05   0.546935E-05   0.781015E-07   0.173230E-02   0.250753E-05   0.174409E-06   0.114911E-04   0.383768E-06   0.122915E+00   0.546935E-05   0.114911E-04   0.261621E-02   0.395303E-04   0.302017E-02   0.781015E-07   0.383768E-06   0.395303E-04   0.272235E-05
    32   0.737697E+04   0.100631E+02   0.169947E-02   0.122682E+00   0.298984E-02   0.100631E+02   0.309390E-01   0.221724E-05   0.643800E-05   0.799932E-07   0.169947E-02   0.221724E-05   0.175578E-06   0.118195E-04   0.390572E-06   0.122682E+00   0.643800E-05   0.118195E-04   0.277623E-02   0.417551E-04   0.298984E-02   0.799932E-07   0.390572E-06   0.417551E-04   0.284397E-05
    33   0.730195E+04   0.105936E+02   0.166782E-02   0.122356E+00   0.295930E-02   0.105936E+02   0.339296E-01   0.178056E-05   0.718131E-05   0.850090E-07   0.166782E-02   0.178056E-05   0.176666E-06   0.121375E-04   0.397131E-06   0.122356E+00   0.718131E-05   0.121375E-04   0.293848E-02   0.440022E-04   0.295930E-02   0.850090E-07   0.397131E-06   0.440022E-04   0.296614E-05
    34   0.722737E+04   0.111042E+02   0.163749E-02   0.121934E+00   0.292839E-02   0.111042E+02   0.372110E-01   0.117219E-05   0.789516E-05   0.942233E-07   0.163749E-02   0.117219E-05   0.177674E-06   0.124453E-04   0.403450E-06   0.121934E+00   0.789516E-05   0.124453E-04   0.310272E-02   0.462698E-04   0.292839E-02   0.942233E-07   0.403450E-06   0.462698E-04   0.308877E-05
    35   0.715417E+04   0.115835E+02   0.160879E-02   0.121427E+00   0.289732E-02   0.115835E+02   0.408182E-01   0.426043E-06   0.854368E-05   0.105297E-06   0.160879E-02   0.426043E-06   0.178607E-06   0.127430E-04   0.409542E-06   0.121427E+00   0.854368E-05   0.127430E-04   0.326871E-02   0.485557E-04   0.289732E-02   0.105297E-06   0.409542E-06   0.485557E-04   0.321182E-05
    36   0.708177E+04   0.120403E+02   0.158175E-02   0.120852E+00   0.286635E-02   0.120403E+02   0.447840E-01  -0.387358E-06   0.899240E-05   0.114857E-06   0.158175E-02  -0.387358E-06   0.179470E-06   0.130306E-04   0.415417E-06   0.120852E+00   0.899240E-05   0.130306E-04   0.343627E-02   0.508578E-04   0.286635E-02   0.114857E-06   0.415417E-06   0.508578E-04   0.333527E-05
    37   0.701065E+04   0.124592E+02   0.155544E-02   0.120220E+00   0.283553E-02   0.124592E+02   0.490993E-01  -0.111028E-05   0.894389E-05   0.118805E-06   0.155544E-02  -0.111028E-05   0.180267E-06   0.133085E-04   0.421087E-06   0.120220E+00   0.894389E-05   0.133085E-04   0.360521E-02   0.531744E-04   0.283553E-02   0.118805E-06   0.421087E-06   0.531744E-04   0.345907E-05
    38   0.694084E+04   0.128331E+02   0.152895E-02   0.119541E+00   0.280486E-02   0.128331E+02   0.537133E-01  -0.160067E-05   0.818476E-05   0.114197E-06   0.152895E-02  -0.160067E-05   0.181001E-06   0.135767E-04   0.426561E-06   0.119541E+00   0.818476E-05   0.135767E-04   0.377536E-02   0.555040E-04   0.280486E-02   0.114197E-06   0.426561E-06   0.555040E-04   0.358320E-05
    39   0.687248E+04   0.131608E+02   0.150247E-02   0.118817E+00   0.277437E-02   0.131608E+02   0.585959E-01  -0.186639E-05   0.700040E-05   0.103437E-06   0.150247E-02  -0.186639E-05   0.181674E-06   0.138357E-04   0.431847E-06   0.118817E+00   0.700040E-05   0.138357E-04   0.394655E-02   0.578452E-04   0.277437E-02   0.103437E-06   0.431847E-06   0.578452E-04   0.370760E-05
    40   0.680583E+04   0.134414E+02   0.147646E-02   0.118052E+00   0.274409E-02   0.134414E+02   0.637253E-01  -0.195280E-05   0.580092E-05   0.902663E-07   0.147646E-02  -0.195280E-05   0.182289E-06   0.140854E-04   0.436951E-06   0.118052E+00   0.580092E-05   0.140854E-04   0.411861E-02   0.601967E-04   0.274409E-02   0.902663E-07   0.436951E-06   0.601967E-04   0.383223E-05
    41   0.674105E+04   0.136749E+02   0.145129E-02   0.117249E+00   0.271405E-02   0.136749E+02   0.690894E-01  -0.190218E-05   0.491540E-05   0.778275E-07   0.145129E-02  -0.190218E-05   0.182847E-06   0.143262E-04   0.441878E-06   0.117249E+00   0.491540E-05   0.143262E-04   0.429138E-02   0.625574E-04   0.271405E-02   0.778275E-07   0.441878E-06   0.625574E-04   0.395703E-05
    42   0.667822E+04   0.138649E+02   0.142691E-02   0.116413E+00   0.268428E-02   0.138649E+02   0.747163E-01  -0.174450E-05   0.434878E-05   0.668795E-07   0.142691E-02  -0.174450E-05   0.183352E-06   0.145584E-04   0.446637E-06   0.116413E+00   0.434878E-05   0.145584E-04   0.446479E-02   0.649270E-04   0.268428E-02   0.668795E-07   0.446637E-06   0.649270E-04   0.408198E-05
    43   0.661735E+04   0.140149E+02   0.140317E-02   0.115548E+00   0.265481E-02   0.140149E+02   0.806436E-01  -0.150668E-05   0.402498E-05   0.575838E-07   0.140317E-02  -0.150668E-05   0.183805E-06   0.147824E-04   0.451236E-06   0.115548E+00   0.402498E-05   0.147824E-04   0.463878E-02   0.673053E-04   0.265481E-02   0.575838E-07   0.451236E-06   0.673053E-04   0.420705E-05
