#    L    TxT            TxE            TxP            TxW1           TxW2           ExT            ExE            ExP            ExW1           ExW2           PxT            PxE            PxP            PxW1           PxW2           W1xT           W1xE           W1xP           W1xW1          W1xW2          W2xT           W2xE           W2xP           W2xW1          W2xW2       
     2   0.109004E+04   0.338482E+01   0.327951E-02   0.314754E-01   0.145920E-02   0.338482E+01   0.522911E-01  -0.160252E-04   0.804763E-06  -0.444675E-06   0.327951E-02  -0.160252E-04   0.500449E-07   0.304907E-06   0.243761E-07   0.314754E-01   0.804763E-06   0.304907E-06   0.113649E-04   0.119758E-06   0.145920E-02  -0.444675E-06   0.243761E-07   0.119758E-06   0.183986E-07
     3   0.102095E+04   0.423120E+01   0.327444E-02   0.394736E-01   0.167573E-02   0.423120E+01   0.858690E-01  -0.196577E-04   0.784090E-05  -0.848005E-07   0.327444E-02  -0.196577E-04   0.607052E-07   0.514310E-06   0.358712E-07   0.394736E-01   0.784090E-05   0.514310E-06   0.225880E-04   0.262676E-06   0.167573E-02  -0.848005E-07   0.358712E-07   0.262676E-06   0.365661E-07
     4   0.954878E+03   0.436093E+01   0.319666E-02   0.462755E-01   0.182042E-02   0.436093E+01   0.973481E-01  -0.198986E-04   0.883992E-05   0.858463E-07   0.319666E-02  -0.198986E-04   0.698531E-07   0.760311E-06   0.472235E-07   0.462755E-01   0.883992E-05   0.760311E-06   0.378393E-04   0.473437E-06   0.182042E-02   0.858463E-07   0.472235E-07   0.473437E-06   0.595809E-07
     5   0.903395E+03   0.405855E+01   0.308788E-02   0.522367E-01   0.191914E-02   0.405855E+01   0.872873E-01  -0.176632E-04   0.823262E-05   0.150823E-06   0.308788E-02  -0.176632E-04   0.777639E-07   0.103467E-05   0.581108E-07   0.522367E-01   0.823262E-05   0.103467E-05   0.574306E-04   0.754845E-06   0.191914E-02   0.150823E-06   0.581108E-07   0.754845E-06   0.864111E-07
     6   0.865836E+03   0.354937E+01   0.297010E-02   0.574275E-01   0.198332E-02   0.354937E+01   0.653471E-01  -0.138326E-04   0.918643E-05   0.182566E-06   0.297010E-02  -0.138326E-04   0.846305E-07   0.132976E-05   0.683131E-07   0.574275E-01   0.918643E-05   0.132976E-05   0.816115E-04   0.110638E-05   0.198332E-02   0.182566E-06   0.683131E-07   0.110638E-05   0.116054E-06
     7   0.839798E+03   0.297491E+01   0.285321E-02   0.619501E-01   0.202149E-02   0.297491E+01   0.421896E-01  -0.930333E-05   0.858738E-05   0.172710E-06   0.285321E-02  -0.930333E-05   0.906404E-07   0.163907E-05   0.777714E-07   0.619501E-01   0.858738E-05   0.163907E-05   0.110544E-03   0.152604E-05   0.202149E-02   0.172710E-06   0.777714E-07   0.152604E-05   0.147726E-06
     8   0.822208E+03   0.242408E+01   0.273633E-02   0.658032E-01   0.203885E-02   0.242408E+01   0.245713E-01  -0.483820E-05   0.596765E-05   0.139913E-06   0.273633E-02  -0.483820E-05   0.959286E-07   0.195731E-05   0.864573E-07   0.658032E-01   0.596765E-05   0.195731E-05   0.144250E-03   0.201081E-05   0.203885E-02   0.139913E-06   0.864573E-07   0.201081E-05   0.180758E-06
     9   0.811046E+03   0.194843E+01   0.261843E-02   0.689941E-01   0.203961E-02   0.194843E+01   0.143022E-01  -0.981217E-06   0.585790E-05   0.130579E-06   0.261843E-02  -0.981217E-06   0.100607E-06   0.228001E-05   0.943822E-07   0.689941E-01   0.585790E-05   0.228001E-05   0.182730E-03   0.255666E-05   0.203961E-02   0.130579E-06   0.943822E-07   0.255666E-05   0.214621E-06
    10   0.805009E+03   0.157199E+01   0.250336E-02   0.716029E-01   0.202747E-02   0.157199E+01   0.980808E-02   0.191267E-05   0.802181E-05   0.150769E-06   0.250336E-02   0.191267E-05   0.104743E-06   0.260237E-05   0.101563E-06   0.716029E-01   0.802181E-05   0.260237E-05   0.225773E-03   0.315784E-05   0.202747E-02   0.150769E-06   0.101563E-06   0.315784E-05   0.248872E-06
    11   0.802718E+03   0.130282E+01   0.239778E-02   0.737497E-01   0.200620E-02   0.130282E+01   0.837098E-02   0.363439E-05   0.906912E-05   0.161487E-06   0.239778E-02   0.363439E-05   0.108433E-06   0.292186E-05   0.108056E-06   0.737497E-01   0.906912E-05   0.292186E-05   0.273239E-03   0.380985E-05   0.200620E-02   0.161487E-06   0.108056E-06   0.380985E-05   0.283223E-06
