#    L    TxT            TxE            TxP            TxW1           TxW2           ExT            ExE            ExP            ExW1           ExW2           PxT            PxE            PxP            PxW1           PxW2           W1xT           W1xE           W1xP           W1xW1          W1xW2          W2xT           W2xE           W2xP           W2xW1          W2xW2       
     2   0.113405E+04   0.340090E+01   0.344159E-02   0.338998E-01   0.146773E-02   0.340090E+01   0.548718E-01  -0.163599E-04   0.171937E-05  -0.425636E-06   0.344159E-02  -0.163599E-04   0.486415E-07   0.306355E-06   0.232249E-07   0.338998E-01   0.171937E-05   0.306355E-06   0.117845E-04   0.118930E-06   0.146773E-02  -0.425636E-06   0.232249E-07   0.118930E-06   0.174955E-07
     3   0.105522E+04   0.423908E+01   0.342658E-02   0.421827E-01   0.167630E-02   0.423908E+01   0.882186E-01  -0.198536E-04   0.860750E-05  -0.609849E-07   0.342658E-02  -0.198536E-04   0.590344E-07   0.515019E-06   0.342380E-07   0.421827E-01   0.860750E-05   0.515019E-06   0.234318E-04   0.260737E-06   0.167630E-02  -0.609849E-07   0.342380E-07   0.260737E-06   0.349638E-07
     4   0.982119E+03   0.434241E+01   0.334250E-02   0.490560E-01   0.181806E-02   0.434241E+01   0.976933E-01  -0.197993E-04   0.960151E-05   0.114819E-06   0.334250E-02  -0.197993E-04   0.679573E-07   0.759124E-06   0.452195E-07   0.490560E-01   0.960151E-05   0.759124E-06   0.392433E-04   0.469926E-06   0.181806E-02   0.114819E-06   0.452195E-07   0.469926E-06   0.573447E-07
     5   0.925671E+03   0.401041E+01   0.322981E-02   0.550795E-01   0.191782E-02   0.401041E+01   0.853395E-01  -0.172444E-04   0.897888E-05   0.158810E-06   0.322981E-02  -0.172444E-04   0.756935E-07   0.103078E-05   0.558813E-07   0.550795E-01   0.897888E-05   0.103078E-05   0.595321E-04   0.749657E-06   0.191782E-02   0.158810E-06   0.558813E-07   0.749657E-06   0.838063E-07
     6   0.884541E+03   0.347749E+01   0.310871E-02   0.603403E-01   0.198469E-02   0.347749E+01   0.620831E-01  -0.131348E-04   0.812253E-05   0.168441E-06   0.310871E-02  -0.131348E-04   0.824244E-07   0.132282E-05   0.660139E-07   0.603403E-01   0.812253E-05   0.132282E-05   0.845600E-04   0.110007E-05   0.198469E-02   0.168441E-06   0.660139E-07   0.110007E-05   0.113552E-06
     7   0.855854E+03   0.289103E+01   0.298863E-02   0.648864E-01   0.202657E-02   0.289103E+01   0.389530E-01  -0.837656E-05   0.100166E-04   0.185367E-06   0.298863E-02  -0.837656E-05   0.883357E-07   0.162924E-05   0.755586E-07   0.648864E-01   0.100166E-04   0.162924E-05   0.114513E-03   0.152008E-05   0.202657E-02   0.185367E-06   0.755586E-07   0.152008E-05   0.145989E-06
     8   0.836333E+03   0.233998E+01   0.287008E-02   0.688611E-01   0.204963E-02   0.233998E+01   0.222767E-01  -0.378967E-05   0.114049E-04   0.191370E-06   0.287008E-02  -0.378967E-05   0.935561E-07   0.194526E-05   0.844745E-07   0.688611E-01   0.114049E-04   0.194526E-05   0.149451E-03   0.200772E-05   0.204963E-02   0.191370E-06   0.844745E-07   0.200772E-05   0.180588E-06
     9   0.823810E+03   0.186917E+01   0.275273E-02   0.723019E-01   0.205798E-02   0.186917E+01   0.131488E-01  -0.136091E-07   0.920096E-05   0.163209E-06   0.275273E-02  -0.136091E-07   0.981944E-07   0.226690E-05   0.927545E-07   0.723019E-01   0.920096E-05   0.226690E-05   0.189423E-03   0.255989E-05   0.205798E-02   0.163209E-06   0.927545E-07   0.255989E-05   0.216854E-06
    10   0.816748E+03   0.150264E+01   0.263873E-02   0.751548E-01   0.205379E-02   0.150264E+01   0.945798E-02   0.261287E-05   0.689759E-05   0.130499E-06   0.263873E-02   0.261287E-05   0.102316E-06   0.258980E-05   0.100391E-06   0.751548E-01   0.689759E-05   0.258980E-05   0.234266E-03   0.317144E-05   0.205379E-02   0.130499E-06   0.100391E-06   0.317144E-05   0.254251E-06
    11   0.813596E+03   0.124830E+01   0.253303E-02   0.774880E-01   0.203991E-02   0.124830E+01   0.833244E-02   0.404888E-05   0.697657E-05   0.129153E-06   0.253303E-02   0.404888E-05   0.106013E-06   0.291175E-05   0.107414E-06   0.774880E-01   0.697657E-05   0.291175E-05   0.283903E-03   0.383819E-05   0.203991E-02   0.129153E-06   0.107414E-06   0.383819E-05   0.292279E-06
    12   0.814562E+03   0.110315E+01   0.243578E-02   0.793437E-01   0.201797E-02   0.110315E+01   0.775368E-02   0.439889E-05   0.800071E-05   0.147321E-06   0.243578E-02   0.439889E-05   0.109289E-06   0.322853E-05   0.113798E-06   0.793437E-01   0.800071E-05   0.322853E-05   0.337988E-03   0.455230E-05   0.201797E-02   0.147321E-06   0.113798E-06   0.455230E-05   0.330322E-06
    13   0.817482E+03   0.104532E+01   0.235039E-02   0.808253E-01   0.199099E-02   0.104532E+01   0.695047E-02   0.382209E-05   0.838055E-05   0.151773E-06   0.235039E-02   0.382209E-05   0.112243E-06   0.353950E-05   0.119624E-06   0.808253E-01   0.838055E-05   0.353950E-05   0.396361E-03   0.531035E-05   0.199099E-02   0.151773E-06   0.119624E-06   0.531035E-05   0.368151E-06
    14   0.822218E+03   0.104520E+01   0.226977E-02   0.819325E-01   0.195922E-02   0.104520E+01   0.602146E-02   0.256319E-05   0.786422E-05   0.135394E-06   0.226977E-02   0.256319E-05   0.114864E-06   0.384121E-05   0.124883E-06   0.819325E-01   0.786422E-05   0.384121E-05   0.458565E-03   0.610435E-05   0.195922E-02   0.135394E-06   0.124883E-06   0.610435E-05   0.405429E-06
