#    L    TxT            TxE            TxP            TxW1           TxW2           ExT            ExE            ExP            ExW1           ExW2           PxT            PxE            PxP            PxW1           PxW2           W1xT           W1xE           W1xP           W1xW1          W1xW2          W2xT           W2xE           W2xP           W2xW1          W2xW2       
     2   0.113350E+04   0.337293E+01   0.332110E-02   0.345760E-01   0.136967E-02   0.337293E+01   0.533485E-01  -0.161049E-04   0.205828E-05  -0.426604E-06   0.332110E-02  -0.161049E-04   0.454928E-07   0.289482E-06   0.208286E-07   0.345760E-01   0.205828E-05   0.289482E-06   0.110764E-04   0.110061E-06   0.136967E-02  -0.426604E-06   0.208286E-07   0.110061E-06   0.153682E-07
     3   0.106166E+04   0.419518E+01   0.334163E-02   0.420105E-01   0.153400E-02   0.419518E+01   0.868039E-01  -0.196299E-04   0.914071E-05  -0.569415E-07   0.334163E-02  -0.196299E-04   0.547126E-07   0.478093E-06   0.302026E-07   0.420105E-01   0.914071E-05   0.478093E-06   0.219341E-04   0.236881E-06   0.153400E-02  -0.569415E-07   0.302026E-07   0.236881E-06   0.302578E-07
     4   0.992158E+03   0.430413E+01   0.329183E-02   0.470545E-01   0.163487E-02   0.430413E+01   0.974486E-01  -0.197022E-04   0.102259E-04   0.121943E-06   0.329183E-02  -0.197022E-04   0.625517E-07   0.696582E-06   0.394158E-07   0.470545E-01   0.102259E-04   0.696582E-06   0.365765E-04   0.422657E-06   0.163487E-02   0.121943E-06   0.394158E-07   0.422657E-06   0.490633E-07
     5   0.937407E+03   0.398951E+01   0.321084E-02   0.511139E-01   0.169942E-02   0.398951E+01   0.864379E-01  -0.173049E-04   0.957546E-05   0.169185E-06   0.321084E-02  -0.173049E-04   0.692752E-07   0.938376E-06   0.482341E-07   0.511139E-01   0.957546E-05   0.938376E-06   0.552363E-04   0.669634E-06   0.169942E-02   0.169185E-06   0.482341E-07   0.669634E-06   0.709601E-07
     6   0.896958E+03   0.347817E+01   0.311854E-02   0.548289E-01   0.173756E-02   0.347817E+01   0.639481E-01  -0.133310E-04   0.907075E-05   0.184151E-06   0.311854E-02  -0.133310E-04   0.750684E-07   0.119692E-05   0.564916E-07   0.548289E-01   0.907075E-05   0.119692E-05   0.780997E-04   0.976737E-06   0.173756E-02   0.184151E-06   0.564916E-07   0.976737E-06   0.951471E-07
     7   0.868405E+03   0.291228E+01   0.302451E-02   0.583797E-01   0.175689E-02   0.291228E+01   0.408027E-01  -0.865546E-05   0.111700E-04   0.201537E-06   0.302451E-02  -0.865546E-05   0.801071E-07   0.146642E-05   0.641501E-07   0.583797E-01   0.111700E-04   0.146642E-05   0.105287E-03   0.134166E-05   0.175689E-02   0.201537E-06   0.641501E-07   0.134166E-05   0.121001E-06
     8   0.848683E+03   0.237717E+01   0.292940E-02   0.617528E-01   0.176269E-02   0.237717E+01   0.235957E-01  -0.408033E-05   0.121340E-04   0.201782E-06   0.292940E-02  -0.408033E-05   0.845163E-07   0.174230E-05   0.711904E-07   0.617528E-01   0.121340E-04   0.174230E-05   0.136804E-03   0.176160E-05   0.176269E-02   0.201782E-06   0.711904E-07   0.176160E-05   0.147988E-06
     9   0.835728E+03   0.191648E+01   0.283289E-02   0.647591E-01   0.175803E-02   0.191648E+01   0.138466E-01  -0.232177E-06   0.978529E-05   0.171260E-06   0.283289E-02  -0.232177E-06   0.883979E-07   0.202087E-05   0.776237E-07   0.647591E-01   0.978529E-05   0.202087E-05   0.172649E-03   0.223324E-05   0.175803E-02   0.171260E-06   0.776237E-07   0.223324E-05   0.175684E-06
    10   0.828128E+03   0.155372E+01   0.273737E-02   0.672031E-01   0.174436E-02   0.155372E+01   0.974488E-02   0.254562E-05   0.800246E-05   0.143723E-06   0.273737E-02   0.254562E-05   0.918150E-07   0.229833E-05   0.834636E-07   0.672031E-01   0.800246E-05   0.229833E-05   0.212633E-03   0.275199E-05   0.174436E-02   0.143723E-06   0.834636E-07   0.275199E-05   0.203732E-06
    11   0.824457E+03   0.129670E+01   0.264827E-02   0.691002E-01   0.172386E-02   0.129670E+01   0.848575E-02   0.417550E-05   0.857215E-05   0.146949E-06   0.264827E-02   0.417550E-05   0.948518E-07   0.257288E-05   0.887567E-07   0.691002E-01   0.857215E-05   0.257288E-05   0.256642E-03   0.331443E-05   0.172386E-02   0.146949E-06   0.887567E-07   0.331443E-05   0.231899E-06
