#    L    TxT            TxE            TxP            ExT            ExE            ExP            PxT            PxE            PxP         
    42    0.33651E+04    0.23612E+01   -0.12377E-03    0.23612E+01    0.67777E-01   -0.24847E-07   -0.12377E-03   -0.24847E-07    0.50783E-10
    43    0.33211E+04    0.22652E+01   -0.11925E-03    0.22652E+01    0.73225E-01   -0.23520E-07   -0.11925E-03   -0.23520E-07    0.48299E-10
    44    0.32802E+04    0.21555E+01   -0.11496E-03    0.21555E+01    0.78940E-01   -0.22026E-07   -0.11496E-03   -0.22026E-07    0.45975E-10
    45    0.32423E+04    0.20290E+01   -0.11087E-03    0.20290E+01    0.84934E-01   -0.20632E-07   -0.11087E-03   -0.20632E-07    0.43798E-10
    46    0.32073E+04    0.18813E+01   -0.10698E-03    0.18813E+01    0.91216E-01   -0.19539E-07   -0.10698E-03   -0.19539E-07    0.41754E-10
    47    0.31747E+04    0.17129E+01   -0.10327E-03    0.17129E+01    0.97779E-01   -0.18676E-07   -0.10327E-03   -0.18676E-07    0.39833E-10
    48    0.31444E+04    0.15282E+01   -0.99742E-04    0.15282E+01    0.10462E+00   -0.17904E-07   -0.99742E-04   -0.17904E-07    0.38028E-10
    49    0.31164E+04    0.13308E+01   -0.96378E-04    0.13308E+01    0.11169E+00   -0.17086E-07   -0.96378E-04   -0.17086E-07    0.36330E-10
    50    0.30908E+04    0.11178E+01   -0.93175E-04    0.11178E+01    0.11898E+00   -0.16083E-07   -0.93175E-04   -0.16083E-07    0.34731E-10
    51    0.30673E+04    0.88535E+00   -0.90124E-04    0.88535E+00    0.12644E+00   -0.14814E-07   -0.90124E-04   -0.14814E-07    0.33222E-10
    52    0.30461E+04    0.63197E+00   -0.87215E-04    0.63197E+00    0.13416E+00   -0.13431E-07   -0.87215E-04   -0.13431E-07    0.31798E-10
    53    0.30265E+04    0.35873E+00   -0.84437E-04    0.35873E+00    0.14231E+00   -0.12144E-07   -0.84437E-04   -0.12144E-07    0.30453E-10
    54    0.30083E+04    0.74648E-01   -0.81778E-04    0.74648E-01    0.15089E+00   -0.11162E-07   -0.81778E-04   -0.11162E-07    0.29182E-10
    55    0.29917E+04   -0.21115E+00   -0.79227E-04   -0.21115E+00    0.15989E+00   -0.10695E-07   -0.79227E-04   -0.10695E-07    0.27980E-10
    56    0.29768E+04   -0.49703E+00   -0.76774E-04   -0.49703E+00    0.16919E+00   -0.10868E-07   -0.76774E-04   -0.10868E-07    0.26841E-10
    57    0.29633E+04   -0.78498E+00   -0.74416E-04   -0.78498E+00    0.17866E+00   -0.11475E-07   -0.74416E-04   -0.11475E-07    0.25761E-10
    58    0.29512E+04   -0.10791E+01   -0.72151E-04   -0.10791E+01    0.18830E+00   -0.12225E-07   -0.72151E-04   -0.12225E-07    0.24738E-10
    59    0.29405E+04   -0.13836E+01   -0.69975E-04   -0.13836E+01    0.19813E+00   -0.12829E-07   -0.69975E-04   -0.12829E-07    0.23766E-10
    60    0.29310E+04   -0.17011E+01   -0.67887E-04   -0.17011E+01    0.20820E+00   -0.12994E-07   -0.67887E-04   -0.12994E-07    0.22843E-10
    61    0.29230E+04   -0.20334E+01   -0.65884E-04   -0.20334E+01    0.21859E+00   -0.12541E-07   -0.65884E-04   -0.12541E-07    0.21966E-10
