#    L    TxT            TxE            TxP            TxW1           TxW2           ExT            ExE            ExP            ExW1           ExW2           PxT            PxE            PxP            PxW1           PxW2           W1xT           W1xE           W1xP           W1xW1          W1xW2          W2xT           W2xE           W2xP           W2xW1          W2xW2       
     2   0.107699E+04   0.331962E+01   0.330874E-02   0.315711E-01   0.146638E-02   0.331962E+01   0.523253E-01  -0.160324E-04   0.799118E-06  -0.444641E-06   0.330874E-02  -0.160324E-04   0.501714E-07   0.305568E-06   0.244669E-07   0.315711E-01   0.799118E-06   0.305568E-06   0.113961E-04   0.120067E-06   0.146638E-02  -0.444641E-06   0.244669E-07   0.120067E-06   0.184750E-07
     3   0.100758E+04   0.415662E+01   0.329980E-02   0.396140E-01   0.168426E-02   0.415662E+01   0.858970E-01  -0.196650E-04   0.783049E-05  -0.848806E-07   0.329980E-02  -0.196650E-04   0.608770E-07   0.515786E-06   0.360173E-07   0.396140E-01   0.783049E-05   0.515786E-06   0.226559E-04   0.263526E-06   0.168426E-02  -0.848806E-07   0.360173E-07   0.263526E-06   0.367250E-07
     4   0.941893E+03   0.428678E+01   0.321906E-02   0.464657E-01   0.183017E-02   0.428678E+01   0.973444E-01  -0.199041E-04   0.882689E-05   0.855794E-07   0.321906E-02  -0.199041E-04   0.700666E-07   0.762852E-06   0.474249E-07   0.464657E-01   0.882689E-05   0.762852E-06   0.379624E-04   0.475158E-06   0.183017E-02   0.855794E-07   0.474249E-07   0.475158E-06   0.598444E-07
     5   0.891027E+03   0.399046E+01   0.310778E-02   0.524719E-01   0.192983E-02   0.399046E+01   0.872489E-01  -0.176661E-04   0.821625E-05   0.150411E-06   0.310778E-02  -0.176661E-04   0.780156E-07   0.103847E-05   0.583650E-07   0.524719E-01   0.821625E-05   0.103847E-05   0.576297E-04   0.757795E-06   0.192983E-02   0.150411E-06   0.583650E-07   0.757795E-06   0.867956E-07
     6   0.854165E+03   0.349004E+01   0.298779E-02   0.577021E-01   0.199463E-02   0.349004E+01   0.652895E-01  -0.138334E-04   0.916959E-05   0.182179E-06   0.298779E-02  -0.138334E-04   0.849168E-07   0.133496E-05   0.686164E-07   0.577021E-01   0.916959E-05   0.133496E-05   0.819089E-04   0.111092E-05   0.199463E-02   0.182179E-06   0.686164E-07   0.111092E-05   0.116570E-06
     7   0.828850E+03   0.292500E+01   0.286894E-02   0.622578E-01   0.203317E-02   0.292500E+01   0.421329E-01  -0.930332E-05   0.857517E-05   0.172402E-06   0.286894E-02  -0.930332E-05   0.909583E-07   0.164578E-05   0.781196E-07   0.622578E-01   0.857517E-05   0.164578E-05   0.110962E-03   0.153250E-05   0.203317E-02   0.172402E-06   0.781196E-07   0.153250E-05   0.148381E-06
     8   0.811992E+03   0.238307E+01   0.275038E-02   0.661389E-01   0.205072E-02   0.238307E+01   0.245285E-01  -0.483945E-05   0.594627E-05   0.139515E-06   0.275038E-02  -0.483945E-05   0.962750E-07   0.196558E-05   0.868462E-07   0.661389E-01   0.594627E-05   0.196558E-05   0.144813E-03   0.201953E-05   0.205072E-02   0.139515E-06   0.868462E-07   0.201953E-05   0.181554E-06
     9   0.801553E+03   0.191521E+01   0.263101E-02   0.693547E-01   0.205156E-02   0.191521E+01   0.142755E-01  -0.985884E-06   0.581528E-05   0.130000E-06   0.263101E-02  -0.985884E-06   0.100979E-06   0.228986E-05   0.948072E-07   0.693547E-01   0.581528E-05   0.228986E-05   0.183460E-03   0.256793E-05   0.205156E-02   0.130000E-06   0.948072E-07   0.256793E-05   0.215559E-06
    10   0.796229E+03   0.154522E+01   0.251460E-02   0.719842E-01   0.203937E-02   0.154522E+01   0.979215E-02   0.190310E-05   0.797346E-05   0.150184E-06   0.251460E-02   0.190310E-05   0.105139E-06   0.261381E-05   0.102020E-06   0.719842E-01   0.797346E-05   0.261381E-05   0.226691E-03   0.317191E-05   0.203937E-02   0.150184E-06   0.102020E-06   0.317191E-05   0.249951E-06
    11   0.794634E+03   0.128118E+01   0.240776E-02   0.741468E-01   0.201797E-02   0.128118E+01   0.835900E-02   0.361914E-05   0.903553E-05   0.161094E-06   0.240776E-02   0.361914E-05   0.108850E-06   0.293486E-05   0.108541E-06   0.741468E-01   0.903553E-05   0.293486E-05   0.274365E-03   0.382696E-05   0.201797E-02   0.161094E-06   0.108541E-06   0.382696E-05   0.284439E-06
