#    L    TxT            TxE            TxP            TxW1           TxW2           ExT            ExE            ExP            ExW1           ExW2           PxT            PxE            PxP            PxW1           PxW2           W1xT           W1xE           W1xP           W1xW1          W1xW2          W2xT           W2xE           W2xP           W2xW1          W2xW2       
    17   0.854676E+03   0.121755E+01   0.226209E-02   0.709891E-01   0.147040E-02   0.121755E+01   0.522895E-02  -0.731210E-06   0.698192E-05   0.112828E-06   0.226209E-02  -0.731210E-06   0.104359E-06   0.393574E-05   0.106014E-06   0.709891E-01   0.698192E-05   0.393574E-05   0.574083E-03   0.709069E-05   0.147040E-02   0.112828E-06   0.106014E-06   0.709069E-05   0.374630E-06
    18   0.864510E+03   0.128237E+01   0.220510E-02   0.706912E-01   0.143168E-02   0.128237E+01   0.552574E-02  -0.149248E-05   0.639330E-05   0.107656E-06   0.220510E-02  -0.149248E-05   0.105550E-06   0.413278E-05   0.108127E-06   0.706912E-01   0.639330E-05   0.413278E-05   0.635304E-03   0.778934E-05   0.143168E-02   0.107656E-06   0.108127E-06   0.778934E-05   0.397982E-06
    19   0.875884E+03   0.134343E+01   0.215125E-02   0.702109E-01   0.139289E-02   0.134343E+01   0.594348E-02  -0.190402E-05   0.575458E-05   0.101802E-06   0.215125E-02  -0.190402E-05   0.106585E-06   0.431675E-05   0.109953E-06   0.702109E-01   0.575458E-05   0.431675E-05   0.697681E-03   0.849193E-05   0.139289E-02   0.101802E-06   0.109953E-06   0.849193E-05   0.420676E-06
    20   0.887162E+03   0.139183E+01   0.209911E-02   0.695648E-01   0.135428E-02   0.139183E+01   0.636341E-02  -0.199522E-05   0.529158E-05   0.972688E-07   0.209911E-02  -0.199522E-05   0.107471E-06   0.448716E-05   0.111510E-06   0.695648E-01   0.529158E-05   0.448716E-05   0.760836E-03   0.919413E-05   0.135428E-02   0.972688E-07   0.111510E-06   0.919413E-05   0.442687E-06
    21   0.899015E+03   0.143424E+01   0.204841E-02   0.687832E-01   0.131614E-02   0.143424E+01   0.684221E-02  -0.175738E-05   0.509956E-05   0.935600E-07   0.204841E-02  -0.175738E-05   0.108224E-06   0.464426E-05   0.112829E-06   0.687832E-01   0.509956E-05   0.464426E-05   0.824475E-03   0.989316E-05   0.131614E-02   0.935600E-07   0.112829E-06   0.989316E-05   0.464047E-06
    22   0.911446E+03   0.147460E+01   0.199923E-02   0.678945E-01   0.127873E-02   0.147460E+01   0.748609E-02  -0.121415E-05   0.517384E-05   0.896349E-07   0.199923E-02  -0.121415E-05   0.108865E-06   0.478841E-05   0.113938E-06   0.678945E-01   0.517384E-05   0.478841E-05   0.888319E-03   0.105865E-04   0.127873E-02   0.896349E-07   0.113938E-06   0.105865E-04   0.484796E-06
    23   0.924053E+03   0.151397E+01   0.195193E-02   0.669072E-01   0.124203E-02   0.151397E+01   0.835181E-02  -0.556722E-06   0.524043E-05   0.847719E-07   0.195193E-02  -0.556722E-06   0.109400E-06   0.491971E-05   0.114857E-06   0.669072E-01   0.524043E-05   0.491971E-05   0.952047E-03   0.112712E-04   0.124203E-02   0.847719E-07   0.114857E-06   0.112712E-04   0.504942E-06
    24   0.937139E+03   0.155291E+01   0.190680E-02   0.658283E-01   0.120598E-02   0.155291E+01   0.947834E-02   0.791441E-08   0.506364E-05   0.789109E-07   0.190680E-02   0.791441E-08   0.109836E-06   0.503823E-05   0.115599E-06   0.658283E-01   0.506364E-05   0.503823E-05   0.101534E-02   0.119445E-04   0.120598E-02   0.789109E-07   0.115599E-06   0.119445E-04   0.524492E-06
    25   0.950810E+03   0.158843E+01   0.186373E-02   0.646785E-01   0.117066E-02   0.158843E+01   0.108521E-01   0.377136E-06   0.483031E-05   0.743165E-07   0.186373E-02   0.377136E-06   0.110180E-06   0.514441E-05   0.116184E-06   0.646785E-01   0.483031E-05   0.514441E-05   0.107793E-02   0.126045E-04   0.117066E-02   0.743165E-07   0.116184E-06   0.126045E-04   0.543475E-06
    26   0.964552E+03   0.162803E+01   0.182247E-02   0.634777E-01   0.113616E-02   0.162803E+01   0.124516E-01   0.507133E-06   0.476006E-05   0.729842E-07   0.182247E-02   0.507133E-06   0.110444E-06   0.523874E-05   0.116630E-06   0.634777E-01   0.476006E-05   0.523874E-05   0.113955E-02   0.132501E-04   0.113616E-02   0.729842E-07   0.116630E-06   0.132501E-04   0.561924E-06
