#    L    TxT            TxE            TxP            TxW1           TxW2           ExT            ExE            ExP            ExW1           ExW2           PxT            PxE            PxP            PxW1           PxW2           W1xT           W1xE           W1xP           W1xW1          W1xW2          W2xT           W2xE           W2xP           W2xW1          W2xW2       
     2   0.148421E+04  -0.627537E+01   0.888478E-02   0.640606E-01   0.339475E-02  -0.627537E+01   0.703191E-01  -0.213509E-04  -0.274462E-05  -0.683382E-06   0.888478E-02  -0.213509E-04   0.828859E-07   0.505229E-06   0.442456E-07   0.640606E-01  -0.274462E-05   0.505229E-06   0.195164E-04   0.202323E-06   0.339475E-02  -0.683382E-06   0.442456E-07   0.202323E-06   0.339240E-07
     3   0.113351E+04  -0.582768E+01   0.816935E-02   0.855539E-01   0.395502E-02  -0.582768E+01   0.115411E+00  -0.272447E-04   0.655804E-05  -0.270644E-06   0.816935E-02  -0.272447E-04   0.103711E-06   0.905541E-06   0.662042E-07   0.855539E-01   0.655804E-05   0.905541E-06   0.395600E-04   0.467474E-06   0.395502E-02  -0.270644E-06   0.662042E-07   0.467474E-06   0.674349E-07
     4   0.996400E+03  -0.490373E+01   0.749592E-02   0.103896E+00   0.433598E-02  -0.490373E+01   0.132160E+00  -0.290370E-04   0.722244E-05  -0.462778E-07   0.749592E-02  -0.290370E-04   0.121775E-06   0.138122E-05   0.875691E-07   0.103896E+00   0.722244E-05   0.138122E-05   0.672067E-04   0.863730E-06   0.433598E-02  -0.462778E-07   0.875691E-07   0.863730E-06   0.109259E-06
     5   0.957636E+03  -0.396214E+01   0.689282E-02   0.119343E+00   0.461335E-02  -0.396214E+01   0.121233E+00  -0.277798E-04   0.623273E-05   0.497016E-07   0.689282E-02  -0.277798E-04   0.137506E-06   0.191185E-05   0.107721E-06   0.119343E+00   0.623273E-05   0.191185E-05   0.102966E-03   0.139454E-05   0.461335E-02   0.497016E-07   0.107721E-06   0.139454E-05   0.157245E-06
     6   0.969141E+03  -0.316935E+01   0.634735E-02   0.133632E+00   0.480263E-02  -0.316935E+01   0.942617E-01  -0.245390E-04   0.546613E-05   0.752120E-07   0.634735E-02  -0.245390E-04   0.151218E-06   0.247993E-05   0.126278E-06   0.133632E+00   0.546613E-05   0.247993E-05   0.147170E-03   0.205647E-05   0.480263E-02   0.752120E-07   0.126278E-06   0.205647E-05   0.209397E-06
     7   0.100664E+04  -0.256681E+01   0.582821E-02   0.144076E+00   0.487954E-02  -0.256681E+01   0.640775E-01  -0.203792E-04   0.163483E-05   0.452934E-07   0.582821E-02  -0.203792E-04   0.163230E-06   0.307100E-05   0.143168E-06   0.144076E+00   0.163483E-05   0.307100E-05   0.199950E-03   0.284305E-05   0.487954E-02   0.452934E-07   0.143168E-06   0.284305E-05   0.264214E-06
     8   0.105756E+04  -0.211268E+01   0.533196E-02   0.150709E+00   0.485947E-02  -0.211268E+01   0.391252E-01  -0.161645E-04  -0.638013E-06   0.264016E-07   0.533196E-02  -0.161645E-04   0.173781E-06   0.367332E-05   0.158379E-06   0.150709E+00  -0.638013E-06   0.367332E-05   0.261168E-03   0.374584E-05   0.485947E-02   0.264016E-07   0.158379E-06   0.374584E-05   0.320456E-06
     9   0.111826E+04  -0.173950E+01   0.489239E-02   0.157590E+00   0.480695E-02  -0.173950E+01   0.224212E-01  -0.125295E-04   0.192991E-05   0.507381E-07   0.489239E-02  -0.125295E-04   0.183075E-06   0.427724E-05   0.171969E-06   0.157590E+00   0.192991E-05   0.427724E-05   0.330628E-03   0.475442E-05   0.480695E-02   0.507381E-07   0.171969E-06   0.475442E-05   0.377177E-06
    10   0.118841E+04  -0.138881E+01   0.452437E-02   0.165125E+00   0.476394E-02  -0.138881E+01   0.132269E-01  -0.993135E-05   0.433450E-05   0.733735E-07   0.452437E-02  -0.993135E-05   0.191247E-06   0.487318E-05   0.184009E-06   0.165125E+00   0.433450E-05   0.487318E-05   0.407743E-03   0.585526E-05   0.476394E-02   0.733735E-07   0.184009E-06   0.585526E-05   0.433622E-06
    11   0.126362E+04  -0.103014E+01   0.419807E-02   0.170937E+00   0.471781E-02  -0.103014E+01   0.927548E-02  -0.860491E-05   0.326083E-05   0.538987E-07   0.419807E-02  -0.860491E-05   0.198485E-06   0.545598E-05   0.194641E-06   0.170937E+00   0.326083E-05   0.545598E-05   0.492060E-03   0.703746E-05   0.471781E-02   0.538987E-07   0.194641E-06   0.703746E-05   0.489327E-06
    12   0.133473E+04  -0.653930E+00   0.386910E-02   0.174205E+00   0.463303E-02  -0.653930E+00   0.840280E-02  -0.844962E-05   0.105215E-05   0.169468E-07   0.386910E-02  -0.844962E-05   0.204810E-06   0.601706E-05   0.203891E-06   0.174205E+00   0.105215E-05   0.601706E-05   0.582668E-03   0.828385E-05   0.463303E-02   0.169468E-07   0.203891E-06   0.828385E-05   0.543694E-06
    13   0.140458E+04  -0.271313E+00   0.354276E-02   0.175703E+00   0.450506E-02  -0.271313E+00   0.912951E-02  -0.907490E-05   0.258991E-06   0.477760E-08   0.354276E-02  -0.907490E-05   0.210415E-06   0.655489E-05   0.211970E-06   0.175703E+00   0.258991E-06   0.655489E-05   0.678986E-03   0.958556E-05   0.450506E-02   0.477760E-08   0.211970E-06   0.958556E-05   0.596705E-06
    14   0.147374E+04   0.996066E-01   0.324759E-02   0.175935E+00   0.435716E-02   0.996066E-01   0.105551E-01  -0.100328E-04   0.583937E-06   0.207391E-07   0.324759E-02  -0.100328E-04   0.215291E-06   0.706311E-05   0.218895E-06   0.175935E+00   0.583937E-06   0.706311E-05   0.779953E-03   0.109255E-04   0.435716E-02   0.207391E-07   0.218895E-06   0.109255E-04   0.647942E-06
    15   0.154588E+04   0.419415E+00   0.301250E-02   0.175757E+00   0.422068E-02   0.419415E+00   0.120961E-01  -0.110522E-04   0.838280E-06   0.395885E-07   0.301250E-02  -0.110522E-04   0.219582E-06   0.754157E-05   0.224842E-06   0.175757E+00   0.838280E-06   0.754157E-05   0.884907E-03   0.122952E-04   0.422068E-02   0.395885E-07   0.224842E-06   0.122952E-04   0.697498E-06
    16   0.161630E+04   0.660515E+00   0.281779E-02   0.175981E+00   0.410395E-02   0.660515E+00   0.133156E-01  -0.120195E-04   0.949351E-06   0.438506E-07   0.281779E-02  -0.120195E-04   0.223313E-06   0.798688E-05   0.229867E-06   0.175981E+00   0.949351E-06   0.798688E-05   0.992839E-03   0.136805E-04   0.410395E-02   0.438506E-07   0.229867E-06   0.136805E-04   0.745183E-06
    17   0.168392E+04   0.808596E+00   0.263023E-02   0.175819E+00   0.399162E-02   0.808596E+00   0.139570E-01  -0.127422E-04   0.106106E-05   0.375670E-07   0.263023E-02  -0.127422E-04   0.226544E-06   0.839828E-05   0.234064E-06   0.175819E+00   0.106106E-05   0.839828E-05   0.110293E-02   0.150715E-04   0.399162E-02   0.375670E-07   0.234064E-06   0.150715E-04   0.791010E-06
    18   0.174898E+04   0.858709E+00   0.242669E-02   0.174323E+00   0.386794E-02   0.858709E+00   0.138841E-01  -0.130256E-04   0.123248E-05   0.286800E-07   0.242669E-02  -0.130256E-04   0.229344E-06   0.877588E-05   0.237542E-06   0.174323E+00   0.123248E-05   0.877588E-05   0.121444E-02   0.164596E-04   0.386794E-02   0.286800E-07   0.237542E-06   0.164596E-04   0.835060E-06
    19   0.181312E+04   0.827423E+00   0.222491E-02   0.171576E+00   0.373407E-02   0.827423E+00   0.132786E-01  -0.127835E-04   0.128730E-05   0.212930E-07   0.222491E-02  -0.127835E-04   0.231737E-06   0.911895E-05   0.240359E-06   0.171576E+00   0.128730E-05   0.911895E-05   0.132650E-02   0.178350E-04   0.373407E-02   0.212930E-07   0.240359E-06   0.178350E-04   0.877325E-06
    20   0.187538E+04   0.726824E+00   0.204795E-02   0.168024E+00   0.359629E-02   0.726824E+00   0.123942E-01  -0.120288E-04   0.109411E-05   0.178645E-07   0.204795E-02  -0.120288E-04   0.233742E-06   0.942699E-05   0.242570E-06   0.168024E+00   0.109411E-05   0.942699E-05   0.143829E-02   0.191887E-04   0.359629E-02   0.178645E-07   0.242570E-06   0.191887E-04   0.917804E-06
    21   0.193658E+04   0.576441E+00   0.189918E-02   0.164537E+00   0.346429E-02   0.576441E+00   0.115352E-01  -0.110641E-04   0.936489E-06   0.181145E-07   0.189918E-02  -0.110641E-04   0.235405E-06   0.970131E-05   0.244250E-06   0.164537E+00   0.936489E-06   0.970131E-05   0.154921E-02   0.205155E-04   0.346429E-02   0.181145E-07   0.244250E-06   0.205155E-04   0.956608E-06
    22   0.199664E+04   0.393592E+00   0.177395E-02   0.161782E+00   0.334556E-02   0.393592E+00   0.109952E-01  -0.102018E-04   0.107663E-05   0.207335E-07   0.177395E-02  -0.102018E-04   0.236774E-06   0.994352E-05   0.245474E-06   0.161782E+00   0.107663E-05   0.994352E-05   0.165871E-02   0.218111E-04   0.334556E-02   0.207335E-07   0.245474E-06   0.218111E-04   0.993860E-06
    23   0.205456E+04   0.202835E+00   0.165518E-02   0.159183E+00   0.323540E-02   0.202835E+00   0.109046E-01  -0.950601E-05   0.127627E-05   0.230342E-07   0.165518E-02  -0.950601E-05   0.237872E-06   0.101548E-04   0.246289E-06   0.159183E+00   0.127627E-05   0.101548E-04   0.176626E-02   0.230710E-04   0.323540E-02   0.230342E-07   0.246289E-06   0.230710E-04   0.102962E-05
    24   0.211009E+04   0.261310E-01   0.152833E-02   0.156024E+00   0.312725E-02   0.261310E-01   0.113270E-01  -0.896906E-05   0.124419E-05   0.225108E-07   0.152833E-02  -0.896906E-05   0.238715E-06   0.103362E-04   0.246736E-06   0.156024E+00   0.124419E-05   0.103362E-04   0.187136E-02   0.242908E-04   0.312725E-02   0.225108E-07   0.246736E-06   0.242908E-04   0.106392E-05
    25   0.216353E+04  -0.136642E+00   0.140140E-02   0.152276E+00   0.301930E-02  -0.136642E+00   0.121925E-01  -0.854577E-05   0.977905E-06   0.187618E-07   0.140140E-02  -0.854577E-05   0.239325E-06   0.104896E-04   0.246861E-06   0.152276E+00   0.977905E-06   0.104896E-04   0.197363E-02   0.254690E-04   0.301930E-02   0.187618E-07   0.246861E-06   0.254690E-04   0.109688E-05
    26   0.221475E+04  -0.278866E+00   0.128597E-02   0.148123E+00   0.291157E-02  -0.278866E+00   0.134104E-01  -0.820690E-05   0.578272E-06   0.125028E-07   0.128597E-02  -0.820690E-05   0.239727E-06   0.106168E-04   0.246709E-06   0.148123E+00   0.578272E-06   0.106168E-04   0.207279E-02   0.266047E-04   0.291157E-02   0.125028E-07   0.246709E-06   0.266047E-04   0.112858E-05
    27   0.226448E+04  -0.397830E+00   0.118552E-02   0.143919E+00   0.280665E-02  -0.397830E+00   0.149162E-01  -0.802478E-05   0.270883E-06   0.681392E-08   0.118552E-02  -0.802478E-05   0.239940E-06   0.107197E-04   0.246317E-06   0.143919E+00   0.270883E-06   0.107197E-04   0.216865E-02   0.276973E-04   0.280665E-02   0.681392E-08   0.246317E-06   0.276973E-04   0.115910E-05
    28   0.231278E+04  -0.498443E+00   0.109983E-02   0.139968E+00   0.270726E-02  -0.498443E+00   0.166274E-01  -0.805570E-05   0.255363E-06   0.460305E-08   0.109983E-02  -0.805570E-05   0.239980E-06   0.108001E-04   0.245713E-06   0.139968E+00   0.255363E-06   0.108001E-04   0.226102E-02   0.287468E-04   0.270726E-02   0.460305E-08   0.245713E-06   0.287468E-04   0.118852E-05
    29   0.235957E+04  -0.582917E+00   0.102219E-02   0.136202E+00   0.261396E-02  -0.582917E+00   0.184619E-01  -0.819034E-05   0.502767E-06   0.572497E-08   0.102219E-02  -0.819034E-05   0.239853E-06   0.108595E-04   0.244915E-06   0.136202E+00   0.502767E-06   0.108595E-04   0.234971E-02   0.297527E-04   0.261396E-02   0.572497E-08   0.244915E-06   0.297527E-04   0.121682E-05
    30   0.240493E+04  -0.666571E+00   0.945688E-03   0.132479E+00   0.252644E-02  -0.666571E+00   0.203558E-01  -0.828421E-05   0.912819E-06   0.909326E-08   0.945688E-03  -0.828421E-05   0.239563E-06   0.108994E-04   0.243940E-06   0.132479E+00   0.912819E-06   0.108994E-04   0.243461E-02   0.307154E-04   0.252644E-02   0.909326E-08   0.243940E-06   0.307154E-04   0.124403E-05
    31   0.244807E+04  -0.745839E+00   0.869306E-03   0.128710E+00   0.244323E-02  -0.745839E+00   0.223069E-01  -0.821786E-05   0.132850E-05   0.129096E-07   0.869306E-03  -0.821786E-05   0.239132E-06   0.109220E-04   0.242821E-06   0.128710E+00   0.132850E-05   0.109220E-04   0.251581E-02   0.316377E-04   0.244323E-02   0.129096E-07   0.242821E-06   0.316377E-04   0.127025E-05
    32   0.248964E+04  -0.830370E+00   0.794176E-03   0.124856E+00   0.236279E-02  -0.830370E+00   0.243596E-01  -0.792127E-05   0.160639E-05   0.155499E-07   0.794176E-03  -0.792127E-05   0.238583E-06   0.109296E-04   0.241588E-06   0.124856E+00   0.160639E-05   0.109296E-04   0.259349E-02   0.325231E-04   0.236279E-02   0.155499E-07   0.241588E-06   0.325231E-04   0.129558E-05
    33   0.252930E+04  -0.917181E+00   0.724165E-03   0.121013E+00   0.228460E-02  -0.917181E+00   0.265144E-01  -0.749706E-05   0.171422E-05   0.167981E-07   0.724165E-03  -0.749706E-05   0.237923E-06   0.109240E-04   0.240257E-06   0.121013E+00   0.171422E-05   0.109240E-04   0.266775E-02   0.333739E-04   0.228460E-02   0.167981E-07   0.240257E-06   0.333739E-04   0.132006E-05
    34   0.256720E+04  -0.100043E+01   0.662576E-03   0.117293E+00   0.220860E-02  -0.100043E+01   0.288342E-01  -0.707866E-05   0.166035E-05   0.168622E-07   0.662576E-03  -0.707866E-05   0.237158E-06   0.109067E-04   0.238843E-06   0.117293E+00   0.166035E-05   0.109067E-04   0.273872E-02   0.341927E-04   0.220860E-02   0.168622E-07   0.238843E-06   0.341927E-04   0.134372E-05
