#    L    TxT            TxE            TxP            TxW1           TxW2           ExT            ExE            ExP            ExW1           ExW2           PxT            PxE            PxP            PxW1           PxW2           W1xT           W1xE           W1xP           W1xW1          W1xW2          W2xT           W2xE           W2xP           W2xW1          W2xW2       
     2   0.106992E+04   0.329926E+01   0.332054E-02   0.316797E-01   0.147083E-02   0.329926E+01   0.524375E-01  -0.160688E-04   0.780435E-06  -0.446483E-06   0.332054E-02  -0.160688E-04   0.502766E-07   0.306346E-06   0.245125E-07   0.316797E-01   0.780435E-06   0.306346E-06   0.114224E-04   0.120347E-06   0.147083E-02  -0.446483E-06   0.245125E-07   0.120347E-06   0.185047E-07
     3   0.100089E+04   0.413880E+01   0.330886E-02   0.397492E-01   0.168918E-02   0.413880E+01   0.861080E-01  -0.197186E-04   0.783588E-05  -0.859948E-07   0.330886E-02  -0.197186E-04   0.610062E-07   0.517043E-06   0.360783E-07   0.397492E-01   0.783588E-05   0.517043E-06   0.227067E-04   0.264101E-06   0.168918E-02  -0.859948E-07   0.360783E-07   0.264101E-06   0.367771E-07
     4   0.935798E+03   0.427249E+01   0.322617E-02   0.466171E-01   0.183524E-02   0.427249E+01   0.976260E-01  -0.199708E-04   0.883845E-05   0.850487E-07   0.322617E-02  -0.199708E-04   0.702144E-07   0.764582E-06   0.474985E-07   0.466171E-01   0.883845E-05   0.764582E-06   0.380432E-04   0.476118E-06   0.183524E-02   0.850487E-07   0.474985E-07   0.476118E-06   0.599212E-07
     5   0.885538E+03   0.397878E+01   0.311338E-02   0.526332E-01   0.193478E-02   0.397878E+01   0.875508E-01  -0.177417E-04   0.822449E-05   0.150212E-06   0.311338E-02  -0.177417E-04   0.781777E-07   0.104065E-05   0.584489E-07   0.526332E-01   0.822449E-05   0.104065E-05   0.577451E-04   0.759208E-06   0.193478E-02   0.150212E-06   0.584489E-07   0.759208E-06   0.868979E-07
     6   0.849266E+03   0.347958E+01   0.299230E-02   0.578651E-01   0.199947E-02   0.347958E+01   0.655588E-01  -0.139139E-04   0.917738E-05   0.182146E-06   0.299230E-02  -0.139139E-04   0.850900E-07   0.133757E-05   0.687085E-07   0.578651E-01   0.917738E-05   0.133757E-05   0.820628E-04   0.111284E-05   0.199947E-02   0.182146E-06   0.687085E-07   0.111284E-05   0.116698E-06
     7   0.824513E+03   0.291466E+01   0.287278E-02   0.624312E-01   0.203800E-02   0.291466E+01   0.423304E-01  -0.938557E-05   0.857756E-05   0.172376E-06   0.287278E-02  -0.938557E-05   0.911399E-07   0.164877E-05   0.782183E-07   0.624312E-01   0.857756E-05   0.164877E-05   0.111158E-03   0.153498E-05   0.203800E-02   0.172376E-06   0.782183E-07   0.153498E-05   0.148533E-06
     8   0.808171E+03   0.237232E+01   0.275372E-02   0.663230E-01   0.205548E-02   0.237232E+01   0.246369E-01  -0.492105E-05   0.594157E-05   0.139463E-06   0.275372E-02  -0.492105E-05   0.964631E-07   0.196892E-05   0.869499E-07   0.663230E-01   0.594157E-05   0.196892E-05   0.145053E-03   0.202258E-05   0.205548E-02   0.139463E-06   0.869499E-07   0.202258E-05   0.181730E-06
     9   0.798188E+03   0.190412E+01   0.263383E-02   0.695328E-01   0.205608E-02   0.190412E+01   0.142991E-01  -0.106511E-05   0.581545E-05   0.129996E-06   0.263383E-02  -0.106511E-05   0.101172E-06   0.229352E-05   0.949149E-07   0.695328E-01   0.581545E-05   0.229352E-05   0.183746E-03   0.257159E-05   0.205608E-02   0.129996E-06   0.949149E-07   0.257159E-05   0.215756E-06
    10   0.793279E+03   0.153423E+01   0.251690E-02   0.721501E-01   0.204362E-02   0.153423E+01   0.975201E-02   0.182734E-05   0.798140E-05   0.150249E-06   0.251690E-02   0.182734E-05   0.105335E-06   0.261775E-05   0.102130E-06   0.721501E-01   0.798140E-05   0.261775E-05   0.227023E-03   0.317618E-05   0.204362E-02   0.150249E-06   0.102130E-06   0.317618E-05   0.250167E-06
    11   0.792061E+03   0.127080E+01   0.240971E-02   0.743088E-01   0.202205E-02   0.127080E+01   0.828338E-02   0.354733E-05   0.904062E-05   0.161138E-06   0.240971E-02   0.354733E-05   0.109048E-06   0.293905E-05   0.108653E-06   0.743088E-01   0.904062E-05   0.293905E-05   0.274746E-03   0.383185E-05   0.202205E-02   0.161138E-06   0.108653E-06   0.383185E-05   0.284674E-06
    12   0.794797E+03   0.111254E+01   0.231208E-02   0.760062E-01   0.199277E-02   0.111254E+01   0.772854E-02   0.406444E-05   0.828528E-05   0.142699E-06   0.231208E-02   0.406444E-05   0.112318E-06   0.325295E-05   0.114479E-06   0.760062E-01   0.828528E-05   0.325295E-05   0.326514E-03   0.453053E-05   0.199277E-02   0.142699E-06   0.114479E-06   0.453053E-05   0.318894E-06
    13   0.799116E+03   0.104150E+01   0.222551E-02   0.773004E-01   0.195830E-02   0.104150E+01   0.708409E-02   0.359472E-05   0.706778E-05   0.115396E-06   0.222551E-02   0.359472E-05   0.115245E-06   0.355866E-05   0.119709E-06   0.773004E-01   0.706778E-05   0.355866E-05   0.382107E-03   0.526849E-05   0.195830E-02   0.115396E-06   0.119709E-06   0.526849E-05   0.352775E-06
    14   0.804999E+03   0.103790E+01   0.214196E-02   0.781897E-01   0.191889E-02   0.103790E+01   0.627794E-02   0.251928E-05   0.628691E-05   0.102268E-06   0.214196E-02   0.251928E-05   0.117821E-06   0.385262E-05   0.124340E-06   0.781897E-01   0.628691E-05   0.385262E-05   0.441023E-03   0.603719E-05   0.191889E-02   0.102268E-06   0.124340E-06   0.603719E-05   0.386032E-06
    15   0.811414E+03   0.107994E+01   0.206317E-02   0.787409E-01   0.187643E-02   0.107994E+01   0.561570E-02   0.120151E-05   0.587311E-05   0.103483E-06   0.206317E-02   0.120151E-05   0.120120E-06   0.413457E-05   0.128458E-06   0.787409E-01   0.587311E-05   0.413457E-05   0.502971E-03   0.683277E-05   0.187643E-02   0.103483E-06   0.128458E-06   0.683277E-05   0.418681E-06
    16   0.819952E+03   0.114725E+01   0.198784E-02   0.789836E-01   0.183182E-02   0.114725E+01   0.536468E-02  -0.138716E-06   0.545837E-05   0.106432E-06   0.198784E-02  -0.138716E-06   0.122147E-06   0.440240E-05   0.132083E-06   0.789836E-01   0.545837E-05   0.440240E-05   0.567450E-03   0.764796E-05   0.183182E-02   0.106432E-06   0.132083E-06   0.764796E-05   0.450570E-06
    17   0.830364E+03   0.122238E+01   0.191653E-02   0.789509E-01   0.178585E-02   0.122238E+01   0.547750E-02  -0.135391E-05   0.519953E-05   0.106548E-06   0.191653E-02  -0.135391E-05   0.123931E-06   0.465532E-05   0.135258E-06   0.789509E-01   0.519953E-05   0.465532E-05   0.634051E-03   0.847753E-05   0.178585E-02   0.106548E-06   0.135258E-06   0.847753E-05   0.481667E-06
    18   0.841449E+03   0.129315E+01   0.185012E-02   0.786782E-01   0.173924E-02   0.129315E+01   0.582691E-02  -0.230239E-05   0.528620E-05   0.102635E-06   0.185012E-02  -0.230239E-05   0.125507E-06   0.489302E-05   0.138035E-06   0.786782E-01   0.528620E-05   0.489302E-05   0.702389E-03   0.931687E-05   0.173924E-02   0.102635E-06   0.138035E-06   0.931687E-05   0.511980E-06
