#    L    TxT            TxE            TxP            ExT            ExE            ExP            PxT            PxE            PxP         
    43    0.12292E+04    0.14098E+01    0.22760E-04    0.14098E+01    0.75180E-01   -0.57414E-08    0.22760E-04   -0.57414E-08    0.65756E-10
    44    0.12469E+04    0.13019E+01    0.21727E-04    0.13019E+01    0.81040E-01   -0.72214E-08    0.21727E-04   -0.72214E-08    0.62555E-10
    45    0.12649E+04    0.11815E+01    0.20754E-04    0.11815E+01    0.87194E-01   -0.94723E-08    0.20754E-04   -0.94723E-08    0.59557E-10
    46    0.12833E+04    0.10464E+01    0.19833E-04    0.10464E+01    0.93655E-01   -0.12131E-07    0.19833E-04   -0.12131E-07    0.56745E-10
    47    0.13018E+04    0.89749E+00    0.18962E-04    0.89749E+00    0.10041E+00   -0.14859E-07    0.18962E-04   -0.14859E-07    0.54104E-10
    48    0.13204E+04    0.73889E+00    0.18140E-04    0.73889E+00    0.10746E+00   -0.17326E-07    0.18140E-04   -0.17326E-07    0.51625E-10
    49    0.13392E+04    0.57418E+00    0.17367E-04    0.57418E+00    0.11477E+00   -0.19201E-07    0.17367E-04   -0.19201E-07    0.49293E-10
    50    0.13584E+04    0.40019E+00    0.16642E-04    0.40019E+00    0.12230E+00   -0.20152E-07    0.16642E-04   -0.20152E-07    0.47099E-10
    51    0.13779E+04    0.21233E+00    0.15962E-04    0.21233E+00    0.13000E+00   -0.19958E-07    0.15962E-04   -0.19958E-07    0.45030E-10
    52    0.13977E+04    0.60924E-02    0.15325E-04    0.60924E-02    0.13799E+00   -0.18835E-07    0.15325E-04   -0.18835E-07    0.43079E-10
    53    0.14176E+04   -0.22115E+00    0.14727E-04   -0.22115E+00    0.14640E+00   -0.17110E-07    0.14727E-04   -0.17110E-07    0.41238E-10
    54    0.14374E+04   -0.46405E+00    0.14164E-04   -0.46405E+00    0.15524E+00   -0.15109E-07    0.14164E-04   -0.15109E-07    0.39498E-10
    55    0.14573E+04   -0.71715E+00    0.13632E-04   -0.71715E+00    0.16450E+00   -0.13159E-07    0.13632E-04   -0.13159E-07    0.37854E-10
    56    0.14777E+04   -0.98141E+00    0.13129E-04   -0.98141E+00    0.17405E+00   -0.11526E-07    0.13129E-04   -0.11526E-07    0.36297E-10
    57    0.14984E+04   -0.12570E+01    0.12650E-04   -0.12570E+01    0.18376E+00   -0.10235E-07    0.12650E-04   -0.10235E-07    0.34822E-10
    58    0.15193E+04   -0.15451E+01    0.12194E-04   -0.15451E+01    0.19364E+00   -0.92490E-08    0.12194E-04   -0.92490E-08    0.33424E-10
    59    0.15405E+04   -0.18471E+01    0.11758E-04   -0.18471E+01    0.20372E+00   -0.85331E-08    0.11758E-04   -0.85331E-08    0.32098E-10
    60    0.15619E+04   -0.21627E+01    0.11340E-04   -0.21627E+01    0.21404E+00   -0.80516E-08    0.11340E-04   -0.80516E-08    0.30840E-10
    61    0.15837E+04   -0.24915E+01    0.10936E-04   -0.24915E+01    0.22469E+00   -0.77805E-08    0.10936E-04   -0.77805E-08    0.29644E-10
    62    0.16055E+04   -0.28341E+01    0.10549E-04   -0.28341E+01    0.23565E+00   -0.77437E-08    0.10549E-04   -0.77437E-08    0.28506E-10
